,context,question,source_sentence,res
10,"the university is the major seat of the congregation of holy cross -lrb- albeit not its official headquarters , which are in rome -rrb- . its main seminary , moreau seminary , is located on the campus across st. joseph lake from the main building . old college , the oldest building on campus and located near the shore of st. mary lake , houses undergraduate seminarians . retired priests and brothers reside in fatima house -lrb- a former retreat center -rrb- , holy cross house , as well as columba hall near the grotto . the university through the moreau seminary has ties to theologian frederick buechner . while not catholic , buechner has praised writers from notre dame and moreau seminary created a buechner prize for preaching .",where is the headquarters of the congregation of the holy cross ?,"the university is the major seat of the congregation of holy cross -lrb- albeit not its official headquarters , which are in rome -rrb- . "," where is the official headquarters of the congregation of holy cross ?

"
11,"the university is the major seat of the congregation of holy cross -lrb- albeit not its official headquarters , which are in rome -rrb- . its main seminary , moreau seminary , is located on the campus across st. joseph lake from the main building . old college , the oldest building on campus and located near the shore of st. mary lake , houses undergraduate seminarians . retired priests and brothers reside in fatima house -lrb- a former retreat center -rrb- , holy cross house , as well as columba hall near the grotto . the university through the moreau seminary has ties to theologian frederick buechner . while not catholic , buechner has praised writers from notre dame and moreau seminary created a buechner prize for preaching .",what is the primary seminary of the congregation of the holy cross ?,"its main seminary , moreau seminary , is located on the campus across st. joseph lake from the main building . "," where is moreau seminary located ?

"
12,"the university is the major seat of the congregation of holy cross -lrb- albeit not its official headquarters , which are in rome -rrb- . its main seminary , moreau seminary , is located on the campus across st. joseph lake from the main building . old college , the oldest building on campus and located near the shore of st. mary lake , houses undergraduate seminarians . retired priests and brothers reside in fatima house -lrb- a former retreat center -rrb- , holy cross house , as well as columba hall near the grotto . the university through the moreau seminary has ties to theologian frederick buechner . while not catholic , buechner has praised writers from notre dame and moreau seminary created a buechner prize for preaching .",what is the oldest structure at notre dame ?,"old college , the oldest building on campus and located near the shore of st. mary lake , houses undergraduate seminarians . "," where is old college located ?

"
13,"the university is the major seat of the congregation of holy cross -lrb- albeit not its official headquarters , which are in rome -rrb- . its main seminary , moreau seminary , is located on the campus across st. joseph lake from the main building . old college , the oldest building on campus and located near the shore of st. mary lake , houses undergraduate seminarians . retired priests and brothers reside in fatima house -lrb- a former retreat center -rrb- , holy cross house , as well as columba hall near the grotto . the university through the moreau seminary has ties to theologian frederick buechner . while not catholic , buechner has praised writers from notre dame and moreau seminary created a buechner prize for preaching .",what individuals live at fatima house at notre dame ?,"retired priests and brothers reside in fatima house -lrb- a former retreat center -rrb- , holy cross house , as well as columba hall near the grotto . "," where do retired priests and brothers reside at notre dame ?

"
14,"the university is the major seat of the congregation of holy cross -lrb- albeit not its official headquarters , which are in rome -rrb- . its main seminary , moreau seminary , is located on the campus across st. joseph lake from the main building . old college , the oldest building on campus and located near the shore of st. mary lake , houses undergraduate seminarians . retired priests and brothers reside in fatima house -lrb- a former retreat center -rrb- , holy cross house , as well as columba hall near the grotto . the university through the moreau seminary has ties to theologian frederick buechner . while not catholic , buechner has praised writers from notre dame and moreau seminary created a buechner prize for preaching .",which prize did frederick buechner create ?,"while not catholic , buechner has praised writers from notre dame and moreau seminary created a buechner prize for preaching . "," who is frederick buechner ?

"
15,"the college of engineering was established in 1920 , however , early courses in civil and mechanical engineering were a part of the college of science since the 1870s . today the college , housed in the fitzpatrick , cushing , and stinson-remick halls of engineering , includes five departments of study -- aerospace and mechanical engineering , chemical and biomolecular engineering , civil engineering and geological sciences , computer science and engineering , and electrical engineering -- with eight b.s. degrees offered . additionally , the college offers five-year dual degree programs with the colleges of arts and letters and of business awarding additional b.a. and master of business administration -lrb- mba -rrb- degrees , respectively .",how many bs level degrees are offered in the college of engineering at notre dame ?,"today the college , housed in the fitzpatrick , cushing , and stinson-remick halls of engineering , includes five departments of study -- aerospace and mechanical engineering , chemical and biomolecular engineering , civil engineering and geological sciences , computer science and engineering , and electrical engineering -- with eight b.s. degrees offered . "," what are the five departments of study in the college of engineering ?

"
16,"the college of engineering was established in 1920 , however , early courses in civil and mechanical engineering were a part of the college of science since the 1870s . today the college , housed in the fitzpatrick , cushing , and stinson-remick halls of engineering , includes five departments of study -- aerospace and mechanical engineering , chemical and biomolecular engineering , civil engineering and geological sciences , computer science and engineering , and electrical engineering -- with eight b.s. degrees offered . additionally , the college offers five-year dual degree programs with the colleges of arts and letters and of business awarding additional b.a. and master of business administration -lrb- mba -rrb- degrees , respectively .",in what year was the college of engineering at notre dame formed ?,"the college of engineering was established in 1920 , however , early courses in civil and mechanical engineering were a part of the college of science since the 1870s . "," when was the college of engineering established ?

"
17,"the college of engineering was established in 1920 , however , early courses in civil and mechanical engineering were a part of the college of science since the 1870s . today the college , housed in the fitzpatrick , cushing , and stinson-remick halls of engineering , includes five departments of study -- aerospace and mechanical engineering , chemical and biomolecular engineering , civil engineering and geological sciences , computer science and engineering , and electrical engineering -- with eight b.s. degrees offered . additionally , the college offers five-year dual degree programs with the colleges of arts and letters and of business awarding additional b.a. and master of business administration -lrb- mba -rrb- degrees , respectively .",before the creation of the college of engineering similar studies were carried out at which notre dame college ?,"the college of engineering was established in 1920 , however , early courses in civil and mechanical engineering were a part of the college of science since the 1870s . "," when was the college of engineering established ?

"
18,"the college of engineering was established in 1920 , however , early courses in civil and mechanical engineering were a part of the college of science since the 1870s . today the college , housed in the fitzpatrick , cushing , and stinson-remick halls of engineering , includes five departments of study -- aerospace and mechanical engineering , chemical and biomolecular engineering , civil engineering and geological sciences , computer science and engineering , and electrical engineering -- with eight b.s. degrees offered . additionally , the college offers five-year dual degree programs with the colleges of arts and letters and of business awarding additional b.a. and master of business administration -lrb- mba -rrb- degrees , respectively .",how many departments are within the stinson-remick hall of engineering ?,"today the college , housed in the fitzpatrick , cushing , and stinson-remick halls of engineering , includes five departments of study -- aerospace and mechanical engineering , chemical and biomolecular engineering , civil engineering and geological sciences , computer science and engineering , and electrical engineering -- with eight b.s. degrees offered . "," what are the five departments of study in the college of engineering ?

"
19,"the college of engineering was established in 1920 , however , early courses in civil and mechanical engineering were a part of the college of science since the 1870s . today the college , housed in the fitzpatrick , cushing , and stinson-remick halls of engineering , includes five departments of study -- aerospace and mechanical engineering , chemical and biomolecular engineering , civil engineering and geological sciences , computer science and engineering , and electrical engineering -- with eight b.s. degrees offered . additionally , the college offers five-year dual degree programs with the colleges of arts and letters and of business awarding additional b.a. and master of business administration -lrb- mba -rrb- degrees , respectively .",the college of science began to offer civil engineering courses beginning at what time at notre dame ?,"the college of engineering was established in 1920 , however , early courses in civil and mechanical engineering were a part of the college of science since the 1870s . "," when was the college of engineering established ?

"
20,"all of notre dame 's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the first year of studies program . the first year of studies program was established in 1962 to guide incoming freshmen in their first year at the school before they have declared a major . each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested . the program also includes a learning resource center which provides time management , collaborative learning , and subject tutoring . this program has been recognized previously , by u.s. news & world report , as outstanding .",what entity provides help with the management of time for new students at notre dame ?,"the program also includes a learning resource center which provides time management , collaborative learning , and subject tutoring . "," what does the first year of studies program include ?

"
21,"all of notre dame 's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the first year of studies program . the first year of studies program was established in 1962 to guide incoming freshmen in their first year at the school before they have declared a major . each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested . the program also includes a learning resource center which provides time management , collaborative learning , and subject tutoring . this program has been recognized previously , by u.s. news & world report , as outstanding .",how many colleges for undergraduates are at notre dame ?,all of notre dame 's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the first year of studies program . ," what is the name of the program that all of notre dame 's undergraduate students are a part of ?

"
22,"all of notre dame 's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the first year of studies program . the first year of studies program was established in 1962 to guide incoming freshmen in their first year at the school before they have declared a major . each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested . the program also includes a learning resource center which provides time management , collaborative learning , and subject tutoring . this program has been recognized previously , by u.s. news & world report , as outstanding .",what was created at notre dame in 1962 to assist first year students ?,the first year of studies program was established in 1962 to guide incoming freshmen in their first year at the school before they have declared a major . ," when was the first year of studies program established ?

"
23,"all of notre dame 's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the first year of studies program . the first year of studies program was established in 1962 to guide incoming freshmen in their first year at the school before they have declared a major . each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested . the program also includes a learning resource center which provides time management , collaborative learning , and subject tutoring . this program has been recognized previously , by u.s. news & world report , as outstanding .",which organization declared the first year of studies program at notre dame `` outstanding ? '',"this program has been recognized previously , by u.s. news & world report , as outstanding . "," what has the first year of studies program been recognized for ?

"
24,"the university first offered graduate degrees , in the form of a master of arts -lrb- ma -rrb- , in the 1854 -- 1855 academic year . the program expanded to include master of laws -lrb- ll.m . -rrb- and master of civil engineering in its early stages of growth , before a formal graduate school education was developed with a thesis not required to receive the degrees . this changed in 1924 with formal requirements developed for graduate degrees , including offering doctorate -lrb- phd -rrb- degrees . today each of the five colleges offer graduate education . most of the departments from the college of arts and letters offer phd programs , while a professional master of divinity -lrb- m.div . -rrb- program also exists . all of the departments in the college of science offer phd programs , except for the department of pre-professional studies . the school of architecture offers a master of architecture , while each of the departments of the college of engineering offer phd programs . the college of business offers multiple professional programs including mba and master of science in accountancy programs . it also operates facilities in chicago and cincinnati for its executive mba program . additionally , the alliance for catholic education program offers a master of education program where students study at the university during the summer and teach in catholic elementary schools , middle schools , and high schools across the southern united states for two school years .",the granting of doctorate degrees first occurred in what year at notre dame ?,"this changed in 1924 with formal requirements developed for graduate degrees , including offering doctorate -lrb- phd -rrb- degrees . "," when did the university of notre dame begin offering phd degrees ?

"
25,"the university first offered graduate degrees , in the form of a master of arts -lrb- ma -rrb- , in the 1854 -- 1855 academic year . the program expanded to include master of laws -lrb- ll.m . -rrb- and master of civil engineering in its early stages of growth , before a formal graduate school education was developed with a thesis not required to receive the degrees . this changed in 1924 with formal requirements developed for graduate degrees , including offering doctorate -lrb- phd -rrb- degrees . today each of the five colleges offer graduate education . most of the departments from the college of arts and letters offer phd programs , while a professional master of divinity -lrb- m.div . -rrb- program also exists . all of the departments in the college of science offer phd programs , except for the department of pre-professional studies . the school of architecture offers a master of architecture , while each of the departments of the college of engineering offer phd programs . the college of business offers multiple professional programs including mba and master of science in accountancy programs . it also operates facilities in chicago and cincinnati for its executive mba program . additionally , the alliance for catholic education program offers a master of education program where students study at the university during the summer and teach in catholic elementary schools , middle schools , and high schools across the southern united states for two school years .",what type of degree is an m.div .?,"most of the departments from the college of arts and letters offer phd programs , while a professional master of divinity -lrb- m.div . -rrb- "," which college offers the master of divinity program ?

"
26,"the university first offered graduate degrees , in the form of a master of arts -lrb- ma -rrb- , in the 1854 -- 1855 academic year . the program expanded to include master of laws -lrb- ll.m . -rrb- and master of civil engineering in its early stages of growth , before a formal graduate school education was developed with a thesis not required to receive the degrees . this changed in 1924 with formal requirements developed for graduate degrees , including offering doctorate -lrb- phd -rrb- degrees . today each of the five colleges offer graduate education . most of the departments from the college of arts and letters offer phd programs , while a professional master of divinity -lrb- m.div . -rrb- program also exists . all of the departments in the college of science offer phd programs , except for the department of pre-professional studies . the school of architecture offers a master of architecture , while each of the departments of the college of engineering offer phd programs . the college of business offers multiple professional programs including mba and master of science in accountancy programs . it also operates facilities in chicago and cincinnati for its executive mba program . additionally , the alliance for catholic education program offers a master of education program where students study at the university during the summer and teach in catholic elementary schools , middle schools , and high schools across the southern united states for two school years .",which program at notre dame offers a master of education degree ?,"additionally , the alliance for catholic education program offers a master of education program where students study at the university during the summer and teach in catholic elementary schools , middle schools , and high schools across the southern united states for two school years . "," what is the alliance for catholic education program ?

"
27,"the university first offered graduate degrees , in the form of a master of arts -lrb- ma -rrb- , in the 1854 -- 1855 academic year . the program expanded to include master of laws -lrb- ll.m . -rrb- and master of civil engineering in its early stages of growth , before a formal graduate school education was developed with a thesis not required to receive the degrees . this changed in 1924 with formal requirements developed for graduate degrees , including offering doctorate -lrb- phd -rrb- degrees . today each of the five colleges offer graduate education . most of the departments from the college of arts and letters offer phd programs , while a professional master of divinity -lrb- m.div . -rrb- program also exists . all of the departments in the college of science offer phd programs , except for the department of pre-professional studies . the school of architecture offers a master of architecture , while each of the departments of the college of engineering offer phd programs . the college of business offers multiple professional programs including mba and master of science in accountancy programs . it also operates facilities in chicago and cincinnati for its executive mba program . additionally , the alliance for catholic education program offers a master of education program where students study at the university during the summer and teach in catholic elementary schools , middle schools , and high schools across the southern united states for two school years .",in what year was a master of arts course first offered at notre dame ?,"the university first offered graduate degrees , in the form of a master of arts -lrb- ma -rrb- , in the 1854 -- 1855 academic year . "," when did the university of notre dame first offer graduate degrees ?

"
28,"the university first offered graduate degrees , in the form of a master of arts -lrb- ma -rrb- , in the 1854 -- 1855 academic year . the program expanded to include master of laws -lrb- ll.m . -rrb- and master of civil engineering in its early stages of growth , before a formal graduate school education was developed with a thesis not required to receive the degrees . this changed in 1924 with formal requirements developed for graduate degrees , including offering doctorate -lrb- phd -rrb- degrees . today each of the five colleges offer graduate education . most of the departments from the college of arts and letters offer phd programs , while a professional master of divinity -lrb- m.div . -rrb- program also exists . all of the departments in the college of science offer phd programs , except for the department of pre-professional studies . the school of architecture offers a master of architecture , while each of the departments of the college of engineering offer phd programs . the college of business offers multiple professional programs including mba and master of science in accountancy programs . it also operates facilities in chicago and cincinnati for its executive mba program . additionally , the alliance for catholic education program offers a master of education program where students study at the university during the summer and teach in catholic elementary schools , middle schools , and high schools across the southern united states for two school years .",which department at notre dame is the only one to not offer a phd program ?,"all of the departments in the college of science offer phd programs , except for the department of pre-professional studies . "," which college of science department does not offer a phd program ?

"
29,"the joan b. kroc institute for international peace studies at the university of notre dame is dedicated to research , education and outreach on the causes of violent conflict and the conditions for sustainable peace . it offers phd , master 's , and undergraduate degrees in peace studies . it was founded in 1986 through the donations of joan b. kroc , the widow of mcdonald 's owner ray kroc . the institute was inspired by the vision of the rev. theodore m. hesburgh csc , president emeritus of the university of notre dame . the institute has contributed to international policy discussions about peace building practices .",what institute at notre dame studies the reasons for violent conflict ?,"the joan b. kroc institute for international peace studies at the university of notre dame is dedicated to research , education and outreach on the causes of violent conflict and the conditions for sustainable peace . "," what is the joan b. kroc institute for international peace studies dedicated to ?

"
30,"the joan b. kroc institute for international peace studies at the university of notre dame is dedicated to research , education and outreach on the causes of violent conflict and the conditions for sustainable peace . it offers phd , master 's , and undergraduate degrees in peace studies . it was founded in 1986 through the donations of joan b. kroc , the widow of mcdonald 's owner ray kroc . the institute was inspired by the vision of the rev. theodore m. hesburgh csc , president emeritus of the university of notre dame . the institute has contributed to international policy discussions about peace building practices .",what is the title of notre dame 's theodore hesburgh ?,"the institute was inspired by the vision of the rev. theodore m. hesburgh csc , president emeritus of the university of notre dame . "," who founded the joan b. kroc institute for international peace studies ?

"
31,"the joan b. kroc institute for international peace studies at the university of notre dame is dedicated to research , education and outreach on the causes of violent conflict and the conditions for sustainable peace . it offers phd , master 's , and undergraduate degrees in peace studies . it was founded in 1986 through the donations of joan b. kroc , the widow of mcdonald 's owner ray kroc . the institute was inspired by the vision of the rev. theodore m. hesburgh csc , president emeritus of the university of notre dame . the institute has contributed to international policy discussions about peace building practices .",in what year was the joan b. kroc institute for international peace studies founded ?,"it was founded in 1986 through the donations of joan b. kroc , the widow of mcdonald 's owner ray kroc . "," when was the joan b. kroc institute for international peace studies founded ?

"
32,"the joan b. kroc institute for international peace studies at the university of notre dame is dedicated to research , education and outreach on the causes of violent conflict and the conditions for sustainable peace . it offers phd , master 's , and undergraduate degrees in peace studies . it was founded in 1986 through the donations of joan b. kroc , the widow of mcdonald 's owner ray kroc . the institute was inspired by the vision of the rev. theodore m. hesburgh csc , president emeritus of the university of notre dame . the institute has contributed to international policy discussions about peace building practices .",to whom was john b. kroc married ?,"it was founded in 1986 through the donations of joan b. kroc , the widow of mcdonald 's owner ray kroc . "," when was the joan b. kroc institute for international peace studies founded ?

"
33,"the joan b. kroc institute for international peace studies at the university of notre dame is dedicated to research , education and outreach on the causes of violent conflict and the conditions for sustainable peace . it offers phd , master 's , and undergraduate degrees in peace studies . it was founded in 1986 through the donations of joan b. kroc , the widow of mcdonald 's owner ray kroc . the institute was inspired by the vision of the rev. theodore m. hesburgh csc , president emeritus of the university of notre dame . the institute has contributed to international policy discussions about peace building practices .",what company did ray kroc own ?,"it was founded in 1986 through the donations of joan b. kroc , the widow of mcdonald 's owner ray kroc . "," when was the joan b. kroc institute for international peace studies founded ?

"
34,"the library system of the university is divided between the main library and each of the colleges and schools . the main building is the 14-story theodore m. hesburgh library , completed in 1963 , which is the third building to house the main collection of books . the front of the library is adorned with the word of life mural designed by artist millard sheets . this mural is popularly known as `` touchdown jesus '' because of its proximity to notre dame stadium and jesus ' arms appearing to make the signal for a touchdown .",how many stories tall is the main library at notre dame ?,"the main building is the 14-story theodore m. hesburgh library , completed in 1963 , which is the third building to house the main collection of books . "," what is the name of the main library at the university of notre dame ?

"
35,"the library system of the university is divided between the main library and each of the colleges and schools . the main building is the 14-story theodore m. hesburgh library , completed in 1963 , which is the third building to house the main collection of books . the front of the library is adorned with the word of life mural designed by artist millard sheets . this mural is popularly known as `` touchdown jesus '' because of its proximity to notre dame stadium and jesus ' arms appearing to make the signal for a touchdown .",what is the name of the main library at notre dame ?,"the main building is the 14-story theodore m. hesburgh library , completed in 1963 , which is the third building to house the main collection of books . "," what is the name of the main library at the university of notre dame ?

"
36,"the library system of the university is divided between the main library and each of the colleges and schools . the main building is the 14-story theodore m. hesburgh library , completed in 1963 , which is the third building to house the main collection of books . the front of the library is adorned with the word of life mural designed by artist millard sheets . this mural is popularly known as `` touchdown jesus '' because of its proximity to notre dame stadium and jesus ' arms appearing to make the signal for a touchdown .",in what year was the theodore m. hesburgh library at notre dame finished ?,"the main building is the 14-story theodore m. hesburgh library , completed in 1963 , which is the third building to house the main collection of books . "," what is the name of the main library at the university of notre dame ?

"
37,"the library system of the university is divided between the main library and each of the colleges and schools . the main building is the 14-story theodore m. hesburgh library , completed in 1963 , which is the third building to house the main collection of books . the front of the library is adorned with the word of life mural designed by artist millard sheets . this mural is popularly known as `` touchdown jesus '' because of its proximity to notre dame stadium and jesus ' arms appearing to make the signal for a touchdown .",which artist created the mural on the theodore m. hesburgh library ?,the front of the library is adorned with the word of life mural designed by artist millard sheets . ," what is the name of the mural on the front of the library ?

"
38,"the library system of the university is divided between the main library and each of the colleges and schools . the main building is the 14-story theodore m. hesburgh library , completed in 1963 , which is the third building to house the main collection of books . the front of the library is adorned with the word of life mural designed by artist millard sheets . this mural is popularly known as `` touchdown jesus '' because of its proximity to notre dame stadium and jesus ' arms appearing to make the signal for a touchdown .",what is a common name to reference the mural created by millard sheets at notre dame ?,this mural is popularly known as `` touchdown jesus '' because of its proximity to notre dame stadium and jesus ' arms appearing to make the signal for a touchdown . ," what is the name of the mural on the front of the hesburgh library ?

"
