,context,question,source_sentence,res
10,"a japan-exclusive manga series based on twilight princess , penned and illustrated by akira himekawa , was first released on february 8 , 2016 . the series is available solely via publisher shogakukan 's mangaone mobile application . while the manga adaptation began almost ten years after the initial release of the game on which it is based , it launched only a month before the release of the high-definition remake .",who published the twilight princess comic book series ?,the series is available solely via publisher shogakukan 's mangaone mobile application . ," what is the name of the manga series based on twilight princess ?

"
11,"a japan-exclusive manga series based on twilight princess , penned and illustrated by akira himekawa , was first released on february 8 , 2016 . the series is available solely via publisher shogakukan 's mangaone mobile application . while the manga adaptation began almost ten years after the initial release of the game on which it is based , it launched only a month before the release of the high-definition remake .",what kind of device can access the twilight princess manga ?,the series is available solely via publisher shogakukan 's mangaone mobile application . ," what is the name of the manga series based on twilight princess ?

"
12,"spectre -lrb- 2015 -rrb- is the twenty-fourth james bond film produced by eon productions . it features daniel craig in his fourth performance as james bond , and christoph waltz as ernst stavro blofeld , with the film marking the character 's re-introduction into the series . it was directed by sam mendes as his second james bond film following skyfall , and was written by john logan , neal purvis , robert wade and jez butterworth . it is distributed by metro-goldwyn-mayer and columbia pictures . with a budget around $ 245 million , it is the most expensive bond film and one of the most expensive films ever made .",which company made spectre ?,spectre -lrb- 2015 -rrb- is the twenty-fourth james bond film produced by eon productions . ," what is the name of the twenty-fourth james bond film ?

"
13,"spectre -lrb- 2015 -rrb- is the twenty-fourth james bond film produced by eon productions . it features daniel craig in his fourth performance as james bond , and christoph waltz as ernst stavro blofeld , with the film marking the character 's re-introduction into the series . it was directed by sam mendes as his second james bond film following skyfall , and was written by john logan , neal purvis , robert wade and jez butterworth . it is distributed by metro-goldwyn-mayer and columbia pictures . with a budget around $ 245 million , it is the most expensive bond film and one of the most expensive films ever made .",who is the star of spectre ?,"it features daniel craig in his fourth performance as james bond , and christoph waltz as ernst stavro blofeld , with the film marking the character 's re-introduction into the series . "," who is the main actor in spectre ?

"
14,"spectre -lrb- 2015 -rrb- is the twenty-fourth james bond film produced by eon productions . it features daniel craig in his fourth performance as james bond , and christoph waltz as ernst stavro blofeld , with the film marking the character 's re-introduction into the series . it was directed by sam mendes as his second james bond film following skyfall , and was written by john logan , neal purvis , robert wade and jez butterworth . it is distributed by metro-goldwyn-mayer and columbia pictures . with a budget around $ 245 million , it is the most expensive bond film and one of the most expensive films ever made .",what role does daniel craig play in spectre ?,spectre -lrb- 2015 -rrb- is the twenty-fourth james bond film produced by eon productions . ," what is the name of the twenty-fourth james bond film ?

"
15,"spectre -lrb- 2015 -rrb- is the twenty-fourth james bond film produced by eon productions . it features daniel craig in his fourth performance as james bond , and christoph waltz as ernst stavro blofeld , with the film marking the character 's re-introduction into the series . it was directed by sam mendes as his second james bond film following skyfall , and was written by john logan , neal purvis , robert wade and jez butterworth . it is distributed by metro-goldwyn-mayer and columbia pictures . with a budget around $ 245 million , it is the most expensive bond film and one of the most expensive films ever made .",what 007 movie did sam mendes previously direct ?,"it was directed by sam mendes as his second james bond film following skyfall , and was written by john logan , neal purvis , robert wade and jez butterworth . "," who directed spectre ?

"
16,"spectre -lrb- 2015 -rrb- is the twenty-fourth james bond film produced by eon productions . it features daniel craig in his fourth performance as james bond , and christoph waltz as ernst stavro blofeld , with the film marking the character 's re-introduction into the series . it was directed by sam mendes as his second james bond film following skyfall , and was written by john logan , neal purvis , robert wade and jez butterworth . it is distributed by metro-goldwyn-mayer and columbia pictures . with a budget around $ 245 million , it is the most expensive bond film and one of the most expensive films ever made .",how much money did it take to make spectre ?,"with a budget around $ 245 million , it is the most expensive bond film and one of the most expensive films ever made . "," how much did spectre cost to make ?

"
17,"spectre -lrb- 2015 -rrb- is the twenty-fourth james bond film produced by eon productions . it features daniel craig in his fourth performance as james bond , and christoph waltz as ernst stavro blofeld , with the film marking the character 's re-introduction into the series . it was directed by sam mendes as his second james bond film following skyfall , and was written by john logan , neal purvis , robert wade and jez butterworth . it is distributed by metro-goldwyn-mayer and columbia pictures . with a budget around $ 245 million , it is the most expensive bond film and one of the most expensive films ever made .",how many james bond films has eon productions produced ?,spectre -lrb- 2015 -rrb- is the twenty-fourth james bond film produced by eon productions . ," what is the name of the twenty-fourth james bond film ?

"
18,"spectre -lrb- 2015 -rrb- is the twenty-fourth james bond film produced by eon productions . it features daniel craig in his fourth performance as james bond , and christoph waltz as ernst stavro blofeld , with the film marking the character 's re-introduction into the series . it was directed by sam mendes as his second james bond film following skyfall , and was written by john logan , neal purvis , robert wade and jez butterworth . it is distributed by metro-goldwyn-mayer and columbia pictures . with a budget around $ 245 million , it is the most expensive bond film and one of the most expensive films ever made .",which bond film was the most expensive ever made ?,spectre -lrb- 2015 -rrb- is the twenty-fourth james bond film produced by eon productions . ," what is the name of the twenty-fourth james bond film ?

"
19,"spectre -lrb- 2015 -rrb- is the twenty-fourth james bond film produced by eon productions . it features daniel craig in his fourth performance as james bond , and christoph waltz as ernst stavro blofeld , with the film marking the character 's re-introduction into the series . it was directed by sam mendes as his second james bond film following skyfall , and was written by john logan , neal purvis , robert wade and jez butterworth . it is distributed by metro-goldwyn-mayer and columbia pictures . with a budget around $ 245 million , it is the most expensive bond film and one of the most expensive films ever made .",how many films has daniel craig appeared in as james bond ?,spectre -lrb- 2015 -rrb- is the twenty-fourth james bond film produced by eon productions . ," what is the name of the twenty-fourth james bond film ?

"
20,"spectre -lrb- 2015 -rrb- is the twenty-fourth james bond film produced by eon productions . it features daniel craig in his fourth performance as james bond , and christoph waltz as ernst stavro blofeld , with the film marking the character 's re-introduction into the series . it was directed by sam mendes as his second james bond film following skyfall , and was written by john logan , neal purvis , robert wade and jez butterworth . it is distributed by metro-goldwyn-mayer and columbia pictures . with a budget around $ 245 million , it is the most expensive bond film and one of the most expensive films ever made .",which two movie studios distributed the james bond film spectre ?,it is distributed by metro-goldwyn-mayer and columbia pictures . ," who distributed spectre ?

"
21,"spectre -lrb- 2015 -rrb- is the twenty-fourth james bond film produced by eon productions . it features daniel craig in his fourth performance as james bond , and christoph waltz as ernst stavro blofeld , with the film marking the character 's re-introduction into the series . it was directed by sam mendes as his second james bond film following skyfall , and was written by john logan , neal purvis , robert wade and jez butterworth . it is distributed by metro-goldwyn-mayer and columbia pictures . with a budget around $ 245 million , it is the most expensive bond film and one of the most expensive films ever made .",who directed spectre ?,"it was directed by sam mendes as his second james bond film following skyfall , and was written by john logan , neal purvis , robert wade and jez butterworth . "," who directed spectre ?

"
22,"the story sees bond pitted against the global criminal organisation spectre , marking the group 's first appearance in an eon productions film since 1971 's diamonds are forever , -lsb- n 2 -rsb- and tying craig 's series of films together with an overarching storyline . several recurring james bond characters , including m , q and eve moneypenny return , with the new additions of léa seydoux as dr. madeleine swann , dave bautista as mr. hinx , andrew scott as max denbigh and monica bellucci as lucia sciarra .",what group is the enemy of the protagonist ?,"the story sees bond pitted against the global criminal organisation spectre , marking the group 's first appearance in an eon productions film since 1971 's diamonds are forever , -lsb- n 2 -rsb- and tying craig 's series of films together with an overarching storyline . "," what is the plot of spectre ?

"
23,"the story sees bond pitted against the global criminal organisation spectre , marking the group 's first appearance in an eon productions film since 1971 's diamonds are forever , -lsb- n 2 -rsb- and tying craig 's series of films together with an overarching storyline . several recurring james bond characters , including m , q and eve moneypenny return , with the new additions of léa seydoux as dr. madeleine swann , dave bautista as mr. hinx , andrew scott as max denbigh and monica bellucci as lucia sciarra .",which movie was spectre originally featured in ?,"the story sees bond pitted against the global criminal organisation spectre , marking the group 's first appearance in an eon productions film since 1971 's diamonds are forever , -lsb- n 2 -rsb- and tying craig 's series of films together with an overarching storyline . "," what is the name of the criminal organisation that bond is pitted against in spectre ?

"
24,"the story sees bond pitted against the global criminal organisation spectre , marking the group 's first appearance in an eon productions film since 1971 's diamonds are forever , -lsb- n 2 -rsb- and tying craig 's series of films together with an overarching storyline . several recurring james bond characters , including m , q and eve moneypenny return , with the new additions of léa seydoux as dr. madeleine swann , dave bautista as mr. hinx , andrew scott as max denbigh and monica bellucci as lucia sciarra .",which three personalities from previous films appear in spectre ?,"several recurring james bond characters , including m , q and eve moneypenny return , with the new additions of léa seydoux as dr. madeleine swann , dave bautista as mr. hinx , andrew scott as max denbigh and monica bellucci as lucia sciarra . "," who are the new characters in spectre ?

"
25,"the story sees bond pitted against the global criminal organisation spectre , marking the group 's first appearance in an eon productions film since 1971 's diamonds are forever , -lsb- n 2 -rsb- and tying craig 's series of films together with an overarching storyline . several recurring james bond characters , including m , q and eve moneypenny return , with the new additions of léa seydoux as dr. madeleine swann , dave bautista as mr. hinx , andrew scott as max denbigh and monica bellucci as lucia sciarra .",which actor plays the role of mr. hinx ?,"several recurring james bond characters , including m , q and eve moneypenny return , with the new additions of léa seydoux as dr. madeleine swann , dave bautista as mr. hinx , andrew scott as max denbigh and monica bellucci as lucia sciarra . "," who are the new characters in spectre ?

"
26,"the story sees bond pitted against the global criminal organisation spectre , marking the group 's first appearance in an eon productions film since 1971 's diamonds are forever , -lsb- n 2 -rsb- and tying craig 's series of films together with an overarching storyline . several recurring james bond characters , including m , q and eve moneypenny return , with the new additions of léa seydoux as dr. madeleine swann , dave bautista as mr. hinx , andrew scott as max denbigh and monica bellucci as lucia sciarra .",what role is performed by monica bellucci ?,"several recurring james bond characters , including m , q and eve moneypenny return , with the new additions of léa seydoux as dr. madeleine swann , dave bautista as mr. hinx , andrew scott as max denbigh and monica bellucci as lucia sciarra . "," who are the new characters in spectre ?

"
27,"the story sees bond pitted against the global criminal organisation spectre , marking the group 's first appearance in an eon productions film since 1971 's diamonds are forever , -lsb- n 2 -rsb- and tying craig 's series of films together with an overarching storyline . several recurring james bond characters , including m , q and eve moneypenny return , with the new additions of léa seydoux as dr. madeleine swann , dave bautista as mr. hinx , andrew scott as max denbigh and monica bellucci as lucia sciarra .",which recurring james bond characters appear in spectre ?,"several recurring james bond characters , including m , q and eve moneypenny return , with the new additions of léa seydoux as dr. madeleine swann , dave bautista as mr. hinx , andrew scott as max denbigh and monica bellucci as lucia sciarra . "," who are the new characters in spectre ?

"
28,"the story sees bond pitted against the global criminal organisation spectre , marking the group 's first appearance in an eon productions film since 1971 's diamonds are forever , -lsb- n 2 -rsb- and tying craig 's series of films together with an overarching storyline . several recurring james bond characters , including m , q and eve moneypenny return , with the new additions of léa seydoux as dr. madeleine swann , dave bautista as mr. hinx , andrew scott as max denbigh and monica bellucci as lucia sciarra .",what actress portrays dr. madeleine swann in spectre ?,"several recurring james bond characters , including m , q and eve moneypenny return , with the new additions of léa seydoux as dr. madeleine swann , dave bautista as mr. hinx , andrew scott as max denbigh and monica bellucci as lucia sciarra . "," who are the new characters in spectre ?

"
29,"the story sees bond pitted against the global criminal organisation spectre , marking the group 's first appearance in an eon productions film since 1971 's diamonds are forever , -lsb- n 2 -rsb- and tying craig 's series of films together with an overarching storyline . several recurring james bond characters , including m , q and eve moneypenny return , with the new additions of léa seydoux as dr. madeleine swann , dave bautista as mr. hinx , andrew scott as max denbigh and monica bellucci as lucia sciarra .",what actor portrays mr. hinx in spectre ?,"several recurring james bond characters , including m , q and eve moneypenny return , with the new additions of léa seydoux as dr. madeleine swann , dave bautista as mr. hinx , andrew scott as max denbigh and monica bellucci as lucia sciarra . "," who are the new characters in spectre ?

"
30,"the story sees bond pitted against the global criminal organisation spectre , marking the group 's first appearance in an eon productions film since 1971 's diamonds are forever , -lsb- n 2 -rsb- and tying craig 's series of films together with an overarching storyline . several recurring james bond characters , including m , q and eve moneypenny return , with the new additions of léa seydoux as dr. madeleine swann , dave bautista as mr. hinx , andrew scott as max denbigh and monica bellucci as lucia sciarra .",when was diamonds are forever released ?,"the story sees bond pitted against the global criminal organisation spectre , marking the group 's first appearance in an eon productions film since 1971 's diamonds are forever , -lsb- n 2 -rsb- and tying craig 's series of films together with an overarching storyline . "," what is the plot of spectre ?

"
31,"spectre was released on 26 october 2015 in the united kingdom on the same night as the world premiere at the royal albert hall in london , followed by a worldwide release . it was released in the united states on 6 november 2015 . it became the second james bond film to be screened in imax venues after skyfall , although it was not filmed with imax cameras . spectre received mixed reviews upon its release ; although criticised for its length , lack of screen time for new characters , and writing , it received praise for its action sequences and cinematography . the theme song , `` writing 's on the wall '' , received mixed reviews , particularly compared to the previous theme ; nevertheless , it won the golden globe for best original song and was nominated for the academy award in the same category . as of 20 february 2016 -lsb- update -rsb- , spectre has grossed over $ 879 million worldwide .",on what date was spectre first shown in the uk ?,"spectre was released on 26 october 2015 in the united kingdom on the same night as the world premiere at the royal albert hall in london , followed by a worldwide release . "," when was spectre released in the united kingdom ?

"
32,"spectre was released on 26 october 2015 in the united kingdom on the same night as the world premiere at the royal albert hall in london , followed by a worldwide release . it was released in the united states on 6 november 2015 . it became the second james bond film to be screened in imax venues after skyfall , although it was not filmed with imax cameras . spectre received mixed reviews upon its release ; although criticised for its length , lack of screen time for new characters , and writing , it received praise for its action sequences and cinematography . the theme song , `` writing 's on the wall '' , received mixed reviews , particularly compared to the previous theme ; nevertheless , it won the golden globe for best original song and was nominated for the academy award in the same category . as of 20 february 2016 -lsb- update -rsb- , spectre has grossed over $ 879 million worldwide .",where was the first screening of spectre ?,"spectre was released on 26 october 2015 in the united kingdom on the same night as the world premiere at the royal albert hall in london , followed by a worldwide release . "," when was spectre released in the united kingdom ?

"
33,"spectre was released on 26 october 2015 in the united kingdom on the same night as the world premiere at the royal albert hall in london , followed by a worldwide release . it was released in the united states on 6 november 2015 . it became the second james bond film to be screened in imax venues after skyfall , although it was not filmed with imax cameras . spectre received mixed reviews upon its release ; although criticised for its length , lack of screen time for new characters , and writing , it received praise for its action sequences and cinematography . the theme song , `` writing 's on the wall '' , received mixed reviews , particularly compared to the previous theme ; nevertheless , it won the golden globe for best original song and was nominated for the academy award in the same category . as of 20 february 2016 -lsb- update -rsb- , spectre has grossed over $ 879 million worldwide .",what was the us release date for spectre ?,it was released in the united states on 6 november 2015 . ," when was spectre released in the united states ?

"
34,"spectre was released on 26 october 2015 in the united kingdom on the same night as the world premiere at the royal albert hall in london , followed by a worldwide release . it was released in the united states on 6 november 2015 . it became the second james bond film to be screened in imax venues after skyfall , although it was not filmed with imax cameras . spectre received mixed reviews upon its release ; although criticised for its length , lack of screen time for new characters , and writing , it received praise for its action sequences and cinematography . the theme song , `` writing 's on the wall '' , received mixed reviews , particularly compared to the previous theme ; nevertheless , it won the golden globe for best original song and was nominated for the academy award in the same category . as of 20 february 2016 -lsb- update -rsb- , spectre has grossed over $ 879 million worldwide .",what were two subjects of accolades for spectre ?,"spectre received mixed reviews upon its release ; although criticised for its length , lack of screen time for new characters , and writing , it received praise for its action sequences and cinematography . "," what did critics say about spectre ?

"
35,"spectre was released on 26 october 2015 in the united kingdom on the same night as the world premiere at the royal albert hall in london , followed by a worldwide release . it was released in the united states on 6 november 2015 . it became the second james bond film to be screened in imax venues after skyfall , although it was not filmed with imax cameras . spectre received mixed reviews upon its release ; although criticised for its length , lack of screen time for new characters , and writing , it received praise for its action sequences and cinematography . the theme song , `` writing 's on the wall '' , received mixed reviews , particularly compared to the previous theme ; nevertheless , it won the golden globe for best original song and was nominated for the academy award in the same category . as of 20 february 2016 -lsb- update -rsb- , spectre has grossed over $ 879 million worldwide .",for what category did spectre receive a golden globe award ?,"the theme song , `` writing 's on the wall '' , received mixed reviews , particularly compared to the previous theme ; nevertheless , it won the golden globe for best original song and was nominated for the academy award in the same category . "," what did the theme song for spectre win ?

"
36,"spectre was released on 26 october 2015 in the united kingdom on the same night as the world premiere at the royal albert hall in london , followed by a worldwide release . it was released in the united states on 6 november 2015 . it became the second james bond film to be screened in imax venues after skyfall , although it was not filmed with imax cameras . spectre received mixed reviews upon its release ; although criticised for its length , lack of screen time for new characters , and writing , it received praise for its action sequences and cinematography . the theme song , `` writing 's on the wall '' , received mixed reviews , particularly compared to the previous theme ; nevertheless , it won the golden globe for best original song and was nominated for the academy award in the same category . as of 20 february 2016 -lsb- update -rsb- , spectre has grossed over $ 879 million worldwide .",what was the first james bond film to be screened at imax theaters ?,"it became the second james bond film to be screened in imax venues after skyfall , although it was not filmed with imax cameras . "," which james bond film was the first to be screened in imax venues ?

"
37,"spectre was released on 26 october 2015 in the united kingdom on the same night as the world premiere at the royal albert hall in london , followed by a worldwide release . it was released in the united states on 6 november 2015 . it became the second james bond film to be screened in imax venues after skyfall , although it was not filmed with imax cameras . spectre received mixed reviews upon its release ; although criticised for its length , lack of screen time for new characters , and writing , it received praise for its action sequences and cinematography . the theme song , `` writing 's on the wall '' , received mixed reviews , particularly compared to the previous theme ; nevertheless , it won the golden globe for best original song and was nominated for the academy award in the same category . as of 20 february 2016 -lsb- update -rsb- , spectre has grossed over $ 879 million worldwide .",what was the theme song for the james bond film spectre ?,"the theme song , `` writing 's on the wall '' , received mixed reviews , particularly compared to the previous theme ; nevertheless , it won the golden globe for best original song and was nominated for the academy award in the same category . "," what did the theme song for spectre win ?

"
38,"following garreth mallory 's promotion to m , on a mission in mexico city unofficially ordered by a posthumous message from the previous m , 007 james bond kills three men plotting a terrorist bombing during the day of the dead and gives chase to marco sciarra , an assassin who survived the attack . in the ensuing struggle , bond steals his ring , which is emblazoned with a stylised octopus , and then kills sciarra by kicking him out of a helicopter . upon returning to london , bond is indefinitely suspended from field duty by m , who is in the midst of a power struggle with c , the head of the privately-backed joint intelligence service , consisting of the recently merged mi5 and mi6 . c campaigns for britain to form alongside 8 other countries `` nine eyes '' , a global surveillance and intelligence co-operation initiative between nine member states , and uses his influence to close down the ' 00 ' section , believing it to be outdated .",on what holiday do insurgents plan to detonate a bomb ?,"following garreth mallory 's promotion to m , on a mission in mexico city unofficially ordered by a posthumous message from the previous m , 007 james bond kills three men plotting a terrorist bombing during the day of the dead and gives chase to marco sciarra , an assassin who survived the attack . "," who did james bond kill in mexico city ?

"
39,"following garreth mallory 's promotion to m , on a mission in mexico city unofficially ordered by a posthumous message from the previous m , 007 james bond kills three men plotting a terrorist bombing during the day of the dead and gives chase to marco sciarra , an assassin who survived the attack . in the ensuing struggle , bond steals his ring , which is emblazoned with a stylised octopus , and then kills sciarra by kicking him out of a helicopter . upon returning to london , bond is indefinitely suspended from field duty by m , who is in the midst of a power struggle with c , the head of the privately-backed joint intelligence service , consisting of the recently merged mi5 and mi6 . c campaigns for britain to form alongside 8 other countries `` nine eyes '' , a global surveillance and intelligence co-operation initiative between nine member states , and uses his influence to close down the ' 00 ' section , believing it to be outdated .",who removed james bond from active service ?,"following garreth mallory 's promotion to m , on a mission in mexico city unofficially ordered by a posthumous message from the previous m , 007 james bond kills three men plotting a terrorist bombing during the day of the dead and gives chase to marco sciarra , an assassin who survived the attack . "," who did james bond kill in mexico city ?

"
40,"following garreth mallory 's promotion to m , on a mission in mexico city unofficially ordered by a posthumous message from the previous m , 007 james bond kills three men plotting a terrorist bombing during the day of the dead and gives chase to marco sciarra , an assassin who survived the attack . in the ensuing struggle , bond steals his ring , which is emblazoned with a stylised octopus , and then kills sciarra by kicking him out of a helicopter . upon returning to london , bond is indefinitely suspended from field duty by m , who is in the midst of a power struggle with c , the head of the privately-backed joint intelligence service , consisting of the recently merged mi5 and mi6 . c campaigns for britain to form alongside 8 other countries `` nine eyes '' , a global surveillance and intelligence co-operation initiative between nine member states , and uses his influence to close down the ' 00 ' section , believing it to be outdated .",who is m 's rival ?,"following garreth mallory 's promotion to m , on a mission in mexico city unofficially ordered by a posthumous message from the previous m , 007 james bond kills three men plotting a terrorist bombing during the day of the dead and gives chase to marco sciarra , an assassin who survived the attack . "," who did james bond kill in mexico city ?

"
41,"following garreth mallory 's promotion to m , on a mission in mexico city unofficially ordered by a posthumous message from the previous m , 007 james bond kills three men plotting a terrorist bombing during the day of the dead and gives chase to marco sciarra , an assassin who survived the attack . in the ensuing struggle , bond steals his ring , which is emblazoned with a stylised octopus , and then kills sciarra by kicking him out of a helicopter . upon returning to london , bond is indefinitely suspended from field duty by m , who is in the midst of a power struggle with c , the head of the privately-backed joint intelligence service , consisting of the recently merged mi5 and mi6 . c campaigns for britain to form alongside 8 other countries `` nine eyes '' , a global surveillance and intelligence co-operation initiative between nine member states , and uses his influence to close down the ' 00 ' section , believing it to be outdated .",what group does c support england joining ?,"c campaigns for britain to form alongside 8 other countries `` nine eyes '' , a global surveillance and intelligence co-operation initiative between nine member states , and uses his influence to close down the ' 00 ' section , believing it to be outdated . "," what does c want to do ?

"
42,"following garreth mallory 's promotion to m , on a mission in mexico city unofficially ordered by a posthumous message from the previous m , 007 james bond kills three men plotting a terrorist bombing during the day of the dead and gives chase to marco sciarra , an assassin who survived the attack . in the ensuing struggle , bond steals his ring , which is emblazoned with a stylised octopus , and then kills sciarra by kicking him out of a helicopter . upon returning to london , bond is indefinitely suspended from field duty by m , who is in the midst of a power struggle with c , the head of the privately-backed joint intelligence service , consisting of the recently merged mi5 and mi6 . c campaigns for britain to form alongside 8 other countries `` nine eyes '' , a global surveillance and intelligence co-operation initiative between nine member states , and uses his influence to close down the ' 00 ' section , believing it to be outdated .",which character is promoted to m ?,"following garreth mallory 's promotion to m , on a mission in mexico city unofficially ordered by a posthumous message from the previous m , 007 james bond kills three men plotting a terrorist bombing during the day of the dead and gives chase to marco sciarra , an assassin who survived the attack . "," who did james bond kill in mexico city ?

"
43,"following garreth mallory 's promotion to m , on a mission in mexico city unofficially ordered by a posthumous message from the previous m , 007 james bond kills three men plotting a terrorist bombing during the day of the dead and gives chase to marco sciarra , an assassin who survived the attack . in the ensuing struggle , bond steals his ring , which is emblazoned with a stylised octopus , and then kills sciarra by kicking him out of a helicopter . upon returning to london , bond is indefinitely suspended from field duty by m , who is in the midst of a power struggle with c , the head of the privately-backed joint intelligence service , consisting of the recently merged mi5 and mi6 . c campaigns for britain to form alongside 8 other countries `` nine eyes '' , a global surveillance and intelligence co-operation initiative between nine member states , and uses his influence to close down the ' 00 ' section , believing it to be outdated .",which holiday was the terrorist bombing planned for ?,"following garreth mallory 's promotion to m , on a mission in mexico city unofficially ordered by a posthumous message from the previous m , 007 james bond kills three men plotting a terrorist bombing during the day of the dead and gives chase to marco sciarra , an assassin who survived the attack . "," who did james bond kill in mexico city ?

"
