,generated question,gold question
29,"how is the state of Canada responding to violence at its university?
1.1. To ensure peace at the university.
2. To ensure that its policies are conducive to the development of the peace process.
3. To ensure that the United States continues to lead the work on peace at UQ at a level that provides go",what institute at notre dame studies the reasons for violent conflict ?
30,"how is the state of Canada responding to violence at its university?
1.1. To the degree that the state of Canada responds to violence at its university with acts of violence, its citizens, institutions and civil society, it may contribute to strengthening the state, promoting peace, building trust a",what is the title of notre dame 's theodore hesburgh ?
31,"how is the state of Canada responding to violence at its university?
It is difficult to know just what to mean but I will try to summarize what needs to be said for a coherent definition:peaceful development aims not only to address the threat of violence but the conditions that exist to prevent it ",in what year was the joan b. kroc institute for international peace studies founded ?
32,"how is the state of Canada responding to violence at its university?
It is difficult to know just what to mean but I will try to summarize what needs to be said for a coherent definition:peaceful development aims not only to address the threat of violence but the conditions that exist to prevent it ",to whom was john b. kroc married ?
33,"how is the state of Canada responding to violence at its university?
It is difficult to know just what to mean but I will try to summarize what needs to be said for a coherent definition:peaceful development aims not only to address the threat of violence but the conditions that exist to prevent it ",what company did ray kroc own ?
34,"how is the main building secured in the present state, during the present war-ridden time?


From the sources:
I should like to be clear with you when I say that the library system of the university is divided between the main library and each of the colleges and schools. the main building is the 14",how many stories tall is the main library at notre dame ?
35,"how is the main building secured in the present state, during the present war-ridden time?


From the sources:
I should like to be clear with you when I say that the library system of the university is divided between the main library and each of the colleges and schools. the main building is the 14",what is the name of the main library at notre dame ?
36,"how is the main building secured in the present state, during the present war-ridden time?


From the sources:
I should like to be clear with you when I say that the library system of the university is divided between the main library and each of the colleges and schools. the main building is the 14",in what year was the theodore m. hesburgh library at notre dame finished ?
37,"how is the library system structured in the present day?
According to the statement of the university's administrative functionality which states:
From the beginning of its existence, the university built its libraries on a common foundation of materials, each having its own unique properties, princ",which artist created the mural on the theodore m. hesburgh library ?
38,"how is this mural different from a similar portrait of King George XI of Spain from his palace where it was hung and which portrait is best for painting? One way is that when a statue is erected, it is usually placed next to a main collection of volumes from the library. But when two main collection",what is a common name to reference the mural created by millard sheets at notre dame ?
39,"how is notre dame ranked? 
Based on the above context from which the student's choice becomes the affirmative action policy of that college, there is not a strong sign the university will not be the sole target of application for notre dame. the student is likely to be accepted from a number of othe",how many incoming students did notre dame admit in fall 2015 ?
40,"how is notre dame ranked? 
Based on the above context from which the student's choice becomes the affirmative action policy of that college, there is not a strong sign the university will not be the sole target of application for notre dame. the student is likely to be accepted from a number of othe",what percentage of students were admitted to notre dame in fall 2015 ?
41,"how is notre dame a major research school?
According to the academic profile, it's easy to identify which schools will best offer entry into academic research universities. In fact, the top universities will have a high proportion of these students from each of their own academic fields, with two of",where does notre dame rank in terms of academic profile among research universities in the us ?
42," How is notre dame ranked? 
Based on the above context from which the student's choice becomes an affirmative action (and that affirmative action is more fair than affirmative action, no? ), do the following question ask: How are notre dame ranked in the national research rankings, from U.S. News an",what percentage of students at notre dame participated in the early action program ?
43,"how is notre dame ranked? 
Based on the above context from which the student's choice becomes the affirmative action policy, that means that there are 4-5.5.5 percent of the enrollment in college of a class of a given college, and that they are enrolled in one of 3 classes of study : (a) arts, liter",how many miles does the average student at notre dame travel to study there ?
44,"how is notre dame ranked? 
Based on the above context, generate the question whose answer is in the following sentences:in 2015-2016, notre dame ranked 18th overall among `` national universities '' in the united states in u.s. news & world report's best colleges 2016. i
It seems that notre dame ran",where did u.s. news & world report rank notre dame in its 2015-2016 university rankings ?
45,"how is notre dame ranked? 
Based on the above context from Forbes ', here are the rankings of notre dame that have reached the nation's college professors.
Not re dame ranked by notre dame in 2015-2016. the median starting salary of no higher education has reached $ 40,000 -- more than two times hig",forbes.com placed notre dame at what position compared to other us research universities ?
46,"how is notre dame ranked? 
Based on the above context, generate the question whose answer is in the following sentences:businessweek ranks mendoza college of business undergraduate school as 1st overall. in 2014, US News & World Report ranked the Mendaza college of business undergraduate school as 1",the undergrad school at the mendoza college of business was ranked where according to businessweek ?
47,"how is notre dame ranked? 
Based on the above context from ""businessweek's"" ranking of notre dame among colleges and universities in the U.S.
(1) the percentage of students who choose not to study abroad compared to other major states was 23 % from U.S. colleges and universities (1.3 percentage poin",in 2014 what entity named notre dame 10th best of all american universities ?
48,"how is notre dame ranked? 
Based on the above context, generate the question whose answer is in the following sentences:",what percentage of notre dame students decide to study abroad ?
49,"how is the history of science in the United States, during zahm's time, justified by the presence of an irish catholic catholics? As for the answer. the answer is that zahm was pro-science when it was part of the Vatican. which was the goal from start to finish. i.e. when he was at a Jesuit religiou",what person was the director of the science museum at notre dame in the late 19th century ?
50,"how is one to know what is true about certain religions during the early stages of christianity? and from which are drawn the following text:
A major historical document for christianizing the world, the Universal Christian Code of Ethics, from which was developed the principles that govern christia",what was the lifespan of john augustine zahm ?
51,"how is one to know what is true about certain religions during the early stages of christianity? and from which are drawn the following text:
A major historical document for christianizing the world, the Universal Christian Code of Ethics, from which was developed the principles that govern christia",what program did john augustine zahm come to co-direct at nore dame ?
52,"how is the history of evolution in the United States, during zahm's time, justified by the presence of an irish catholic catholics? As for the answer. the first part of the answer is in the following sentence:
in the first place, as we understand the word'scientific', the study of the matter of evol",what book did john zahm write in 1896 ?
53,"how is the history of science in the United States, during zahm's time, justified by the presence of an irish catholic catholics? As for the answer. the answer is that zahm was pro-science when it was part of the Vatican. which was the goal from start to finish. i.e. when he was at a Jesuit religiou",what professorship did father josh carrier hold at notre dame ?
54,"how is a 'barycentric' model to be explained?
1.1. To construct a 'barycentric' model that is more like a 'futuristic' one: the theoretical way that many 'barycentric' models do their calculations is that they work out what one has built based on one's assumptions...for instance, they compute a 'pro",in what year did albert zahm begin comparing aeronatical models at notre dame ?
55,"how is a 'barycentric' model to be solved?
1.1. To construct a 'barycentric' model that is more like a 'futuristic' one: the theoretical way that many different theoretical approaches are employed to solve the problem is based on their results, one could easily design a model that provides useful in",which professor sent the first wireless message in the usa ?
56,"how is a 'barycentric' model to be solved?
1.1. To construct a 'barycentric' model that is more like a 'futuristic' one: the theoretical way that many different theoretical approaches are employed to solve the problem is based on their results, one could easily design a model that provides useful in",in what year did jerome green send his first wireless message ?
57,"how is a 'barycentric' model to be solved?
1.1. To construct a 'barycentric' model that is more like a 'futile' model:1.1. To construct a Barycentric model that is more like a 'futile' model: The Barycentric Method (BE) was developed by Thomas T. Huxley, a pioneer of the atomic physics and a foundin",which individual worked on projects at notre dame that eventually created neoprene ?
58,"how is a 'barycentric' model to be explained?
1.1. To construct a 'barycentric' model that is more like a 'futuristic' one: the theoretical way that many 'barycentric' models do their calculations is that they work out what one has built based on one's assumptions...for instance, they compute a 'pro",what did the brother of john zahm construct at notre dame ?
59,"how is life possible without bacteria?
There is no question that life can be prolonged through generations without antibiotics or hormones but there is no question that life cannot be reproduced without human or animal.
It will be appreciated in this chapter that although lobund was the first organi",work on a germ-free-life ended up in the creation of which notre dame institute ?
60,"how is life possible without bacteria?
There is no question that life can be prolonged through generations without antibiotics or hormones but there is no question that life cannot be reproduced without human or animal.
It will be appreciated in this chapter that although lobund was the first organi",around what time did lobund of notre dame become independent ?
61,"how is life possible without bacteria?
There is no question that life can be prolonged through generations without antibiotics or hormones but there is no question that life cannot be reproduced without human or animal.
It will be appreciated in this chapter that although lobund was the first organi",in what year did lobund at notre dame become an institute ?
62,"how is life possible without bacteria?
There is no question that life can be created by any living organism from any organism. 
From another perspective there is no question that life can be made by any living organism from any organism. 
A common theory, however, which was first accepted from the n",the lobund institute was merged into the department of biology at notre dame in what year ?
63,"how is life possible without bacteria?
There is no question that life can be prolonged through generations without antibiotics or hormones but there is no question that life cannot be reproduced without human or animal.
It will be appreciated in this chapter that although lobund was the first organi",when did study of a germ-free-life begin at notre dame ?
64,"how is the history of german catholic philosophy, with regards to the politics of the English Catholic Church from the 1940's to 1947, related to the historiographical background of the german catholic tradition that developed here, i.e. the development, in the late 1940's, from the nineteenth centu",gurian created what in 1939 at notre dame ?
65,"how is the history of german catholic philosophy, with regards to the politics of the English Catholic Church from the 1940's to 1947, related to the historiographical background of the german catholic tradition that developed here, i.e. the development, in the late 1940's, from the nineteenth centu",what was the review of politics inspired by ?
66,"how is the history of gurus supposed to be explained? As a catholic and scholastic philosophy from the 1940's to the 1950's, there were several theories for understanding the gurus, each of which was grounded in a different historical tradition or theory, however one they came to be seen.  The most ",over how many years did gurian edit the review of politics at notre dame ?
67,"how is the history of german catholic philosophy, with regards to the politics of the English Catholic Church from the 1940's to 1947, related to the historiographical background of the german catholic tradition that developed here, i.e. the development, in the late 1940's, from the nineteenth centu",thomas stritch was an editor of which publican from notre dame ?
68,"how is notre dame responding? 
Based on what we know from his papers, it would be true to say that the university has large academic research expenditures that could translate into substantial revenues for the government. We know of a limited number of such papers, however. 
For instance, it could b",who was the president of notre dame in 2012 ?
69,"how is notre dame responding? 
Based on what we know from his papers, it would be true to say that the university has large academic research expenditures that could translate into substantial revenues for the government. We know of a limited number of such papers, however. 
For instance, it could b",the kellogg institute for international studies is part of which university ?
70,"how is the state of Texas responding to the global climate change challenge? And from his position as president of Texas College of Health and Science that means:as of 2014-15, the university is facing a challenge that many students of these sciences, including the health, economic interests, and he",what does the kroc institute at notre dame focus on ?
71,"how is the state of Texas responding to any of these factors?
1. Will the state take on climate change as a challenge to economic growth?
1.1 In response to the 2012 drought, the state of Texas responded to climate change by cutting their funding from major research institutes, from the Environmenta",in what year did notre dame begin to host the global adaptation index ?
72,"how is the state of Texas responding to any of these factors?
1. Will the state take on climate change as a challenge to economic growth?
1.1 In response to the 2012 drought, the state of Texas responded to climate change by cutting their funding from major research institutes, from the Environmenta",what threat does the global adaptation index study ?
73,"how is the state of Texas ranked? In the above question ` `, from the right, are the states of Texas ranked in terms of number of academic years taken from 2000 onwards, and are the states of Florida in that period a state or a part thereof, or is they ranked on a one-term basis? In all other respec",how many undergrads were attending notre dame in 2014 ?
74," if this is what constitutes a "" dreamy school "" with a population of 22 million, where are the "" alternative lifestyles "" other than that of `` alternate lifestyles "".
In short, if you ask: are some of the alternatives a reality or a wishful thinking? In particular, what is one of those "" ideal "" a",what percentage of students at notre dame are the children of former notre dame students ?
75,"how is the school different?:
It's probably due to being relatively young from the middle of the 20th Century but a very strong and energetic community. As for the academic achievement, the school's average SAT score in college was a low of 5.9, but that was due partly to one factor (excellence in a",how many teams participate in the notre dame bookstore basketball tournament ?
76,"how is the school different?:
It's probably due to being relatively young from the middle of the 20th Century but a very strong and energetic community. As for the academic achievement, the school's average SAT score in college was a low of 5.9, but that was due partly to one factor (excellence in a",for what cause is money raised at the bengal bouts tournament at notre dame ?
77,"how is the state of Texas ranked? In the above question ` `, from the right, are the states of Texas ranked in terms of number of academic years taken from 2000 onwards, and are the states of Florida in that period a state or a part thereof, or is they ranked on a one-term basis? In all other respec",how many students in total were at notre dame in 2014 ?
78,"how is the state of Texas preventing the state from building the state's high-tech, high-end campus technology to include a college that already provides academic benefits for college students?
So, the answer is that many college-related companies, including the state, are pushing to build big, affo",what percentage of undergrads live on the notre dame campus ?
79,"how is the state of Texas preventing the students from being able to study? i.e., are they restricted from enrolling in class that they have entered into for the purposes of not being able to be accepted for admission to the university?
According to the university, the state's requirements for accep",how many student housing areas are reserved for notre dame 's graduate students ?
80,"how is the state of Texas preventing the students from being able to study? i.e., are they restricted from enrolling in class that is sponsored by the state's religious denomination, such as seminary or college? The answer may be,in part, the result of the university's religious affiliation policy (",how many dorms for males are on the notre dame campus ?
81,"how is the state of Texas preventing the state from building the state's high-tech, high-end campus technology to include a college that already provides academic benefits for college students?
So, the answer is that many college-related companies, including the state, are pushing to build big, affo",what amount of the graduate student body at notre dame live on the campus ?
82,"how is the state of Texas preventing the students from being able to study? i.e., are they restricted from enrolling in class that is sponsored by the state's religious denomination, such as seminary or college? The answer may be,in part, the result of the university's religious affiliation policy (",there are how many dorms for females at notre dame ?
83,"how is the state of Texas a religion? A religious university cannot be religious from an ideological standpoint. religious belief and practice cannot be found among members of a nation or group for whom the definition of the term ""culture"" is not entirely clear. a secular state, however, can be foun",what is congregation of holy cross in latin ?
84,"how is the state of Texas responding to any of these factors?
1. ""This state's religious affiliations are a very significant factor for the success of our college system. We believe that the unique way that our college system is structured, the unique way that we integrate, and the unique way that w",what percentage of notre dame students feel they are christian ?
85,"how is the state of California responding to the church building controversy?
""How does the state of California respond to the church building controversy that erupted into a major controversy of this size and scale?"" the following are some of the responses from local leaders regarding the campus co",how often is catholic mass held at notre dame in a week ?
86,"how is the state of Texas responding to the church building controversy?
1. ""This campus is affiliated with the congregation of holy cross -lrb- latin "". In other words, the church building scandal began in February of 1989 when Catholic students at the university protested over the building's use a",how many chapels are on the notre dame campus ?
87,"how is the state of Texas responding to any of these factors?
1. ""This state's religious affiliations are a very significant factor for the success of our college system. We believe that the unique way that our college system is structured, the unique way that we integrate, and the unique way that w",what amount of the student body of notre dame identifies as catholic ?
88,"how is the history of washington hall supposed to be explained?
1. ""Washington Hall"" was named after the university that organized the building, although it could not be determined whether the university was a part of the building system or a part of the department.
2. ""Students"" could be members of",what was the music hall at notre dame called ?
89,"how is the history of this important campus held to account during the early hours of September 30, 1879? and how did the university manage to stay there until the late 1880s, when the fall semester of 1879 began, before having to return to campus, in order to maintain the academic system and establ",in what year was the main building at notre dame razed in a fire ?
90,"how is the history of Sontag held to account during the early hours of September 30, 1879? and how did the university manage to stay there until the late 1880s?
The answer will depend upon many different historical questions.
A very basic, but fairly familiar question is what kind of history does So",who was the president of notre dame in 1879 ?
91,"how is the history of the university supposed to be explained during the early hours of September 30, 1879?  I ask to ask you what is supposed to happen when a fire broke out on the 17th of May, 1861?
A fire broke out in the building of the main building of the university on April 19, 1865. The fire",on what date was the rebuilding of the main building begun at notre dame after the fire that claimed the previous ?
92,"how is the history of the university taught at the time during the early hours of the 19th century?  I'd ask you that question to be sure for this answer.
So you read: The University of Pennsylvania was a state institution until 1877, when it was closed to commerce from the 1820s on all other days. ",what did the science hall at notre dame come to be known as ?
93,"how is notre dame different from any school in the country? And from which schools? And what is notre dame different that notre dame is from any other school.
It will be appreciated in that it may not take a very long period to get here that the main difference between us and other colleges and univ",what type of education was pushed at notre dame before its embracing of national standards ?
94,"how is notre dame different from any school in the country? And from which schools?


Because the answer to the above question is always obvious, for it is precisely the subject of the topic that is not covered here. In fact, the question, however, is not the subject of the subject at all, since it ",which college did notre dame add in 1921 ?
95,"how is notre dame different from any school in the country? And from which schools? And what is notre dame different that notre dame is from any other school.
It will be appreciated in that it may not take a very long period to get here that the main difference between us and other colleges and univ","in 1919 a new president of notre dame was named , who was it ?"
96,"how is notre dame different from any school in the country? And from which schools? And what is notre dame different that notre dame is from any other school.
It will be appreciated in that it may not take a very long period to get here that the main difference between us and other colleges and univ",over how many years did the change to national standards undertaken at notre dame in the early 20th century take place ?
97,"how is the state of Texas responding to the emergence of the jesuit-college system?


From the sources:

From the sources:

From the sources:

From the sources:

""The system of electives had been in service to Harvard for at least 10 years prior to the present, and one may argue it has been continuo",those who attended a jesuit college may have been forbidden from joining which law school due to the curricula at the jesuit institution ?
98,"how is the history of knute rockne to be explained?
1. ""Knute rockne played the first competitive game of the modern era. During 1916-1917, he played the final match of the 1916-1917 season in the first round of the World's Cup, one of only three games played all year. The two final points were a 0 ","the notre dame football team got a new head coach in 1918 , who was it ?"
99,"how is the history of knute rockne to be explained?
1. ""Rockne's coach played the old baseball teams (eagles, rickshaws) with the first team on each team that was undefeated""  (in the 1940's, the irish won at one game and then lost at all three games. The irish would keep playing each game except fo",what was the amount of wins knute rockne attained at notre dame while head coach ?
100,"how is the history of knute rockne to be explained?
1. ""Rockne's coach played the old baseball game (ehrlen) between 1916-1922, he played the new football game in 1916-1922, his players also played the old baseball game. And one of the best players on all his team was the first ever born. The rest w",in what year did the team lead by knute rockne win the rose bowl ?
101,"how is the history of knute rockne to be explained?
1. ""Rockne's coach played the old baseball game (ehrlen) between 1916-1922, he played the new football game in 1916-1922, his players also played the old baseball game. And one of the best players on all his team was the first ever born. The rest w",how many years was knute rockne head coach at notre dame ?
102,"how is the history of knute rockne to be explained?
1. ""Rockne's coach played the old baseball game (ehrlen) between 1916-1922, he played the new football game in 1916-1922, his players also played the old baseball game. And one of the best players on all his team was the first ever born. The rest w",how many national titles were won when knute rockne coached at notre dame ?
103,"how is the history of religiosity influenced by the success of its football team made notre dame a household name but a common occurrence that persists to this date for college football?
So what is unique about a high-profile professional college basketball team that had the power to topple their ha","catholic people identified with notre dame , what religious group did people feel yale represented ?"
104,"how is notre dame a major political school? what does notre dame mean?and what is notre dame? that is what is notre dame. notre dame, the only word that is notre dame, also, is notresignative, meaning it could never come out of his mouth. notre dame is not a synonym for notre dame in Greek. it means",notre dame students had a showdown in 1924 with which anti-catholic group ?
105,"how is the history of football in the south thaw affected by the rise of ""anomie"" from the old-school catholic school to be dealt with in this manner, if not by setting the stage in any of these ways, in the face of a rising social protestantism from the left, right and center -- something that I ar",which college president of notre dame is credited with preventing more confrontations between students and the kkk ?
106,"how is the history of football in the south thaw affected by the rise of ""anomie"" from the old-school catholic school to be dealt with in this manner, and what is the legal and cultural implications of these changes, and do the kknangers, who fought so aggressively for religious freedom and cultural",what type of event did the klan intend to have at notre dame in march of 1924 ?
107,"how is the history of football in the south thaw affected by the rise of ""anomie"" from the old-school catholic school to be dealt with in this manner, and what is the legal and cultural implications of these changes, and do the kknangers, who fought so aggressively for religious freedom and cultural",where did notre dame students and the kkk have their encounter ?
108,"how is the state appointed for these projects? And, what does `re-dame football` mean? What are the functions of that state? One way or another, it is said, the state government aims to provide for these projects. How do these project activities manifest itself in the lives of people? At a minimum, ",which person became vice-president of notre dame in 1933 ?
109,"how is the state appointed for these projects? And, what does `re-dame football` mean? What are the functions of that state? One way or another, it is said, the state government aims to provide for these projects. How do these project activities manifest itself in the lives of people? At a minimum, ",who was the president of notre dame in 1934 ?
110,"how is notre dame a religion? And, what does notre dame have to offer us from the perspective of notre marian? One way is that when a Muslim says: ""Why are you not here"" he's inviting a Muslim from the view that they are no longer required to be here. Or, his explanation of how notre marian is a rel",irvin abell was given what award by notre dame ?
111,"how is notre dame a religion? And, what does notre dame have to offer us from the perspective of notre marian? One way is that when a Muslim says: ""Why are you not here"" he's inviting a Muslim from the view that they are no longer required to be here. Or, his explanation of how notre marian is a rel",which year was the laetare medal first given out at notre dame ?
112,"how is notre dame a religion? And, what does notre dame mean? It should be understood as a spiritual service that is played for the honor of god. not.
It will be appreciated in that it may not take a very serious thinker to understand the question. If one has considered the question seriously enough",for whos glory did father o'hara believed that the notre dame football team played ?
113,"how is notre dame a major, but is notre dame notre dame a major at the moment? 
From another perspective, as with any academic legacy, the answer is not the same in both of these contexts. Perhaps the best known is that of his late academic mentor, Henry B. Pyle --a man whose life span seems to have",around the time that rev. cavanaugh became president of notre dame by how much did the undergrad student body of notre dame increase ?
114,"how is a state legislature created by the state to provide for its population? i.e., how should states and states-to-be create a universal educational system that meets the needs/values of each citizen and not just of each state or institution or government, and that is balanced and consistent with ",which institute involving animal life did cavanaugh create at notre dame ?
115,"how is a state legislature created by the state to provide for its population? i.an American nation must be recognized as a nation of free States. If its population is not recognized, its citizens will be the sole source of income for its economy. If the state legislature is created to provide for o",what is o'shaughnessy hall of notre dame formerly known as ?
116,"how is the history of the university of ca nchill?
c. s.c. served as president from 1946 to 1947 and during that time s.c. has not.
It will be appreciated in that it may not take a very long period to get here that the main thesis of Henry Cavanaugh and all his fellow intellectuals and activists wer",which president did notre dame have in 1947 ?
117,"how is a state legislature created by the state to provide for its population? i.e., how should states and states-to-be create a universal educational system that meets the needs/values of each citizen and not just of each state or institution or government, and that is balanced and consistent with ","outside of an institute studying animals , what other institute did cavanugh create at notre dame ?"
118,"how is the state of Texas in the present historical period affected by the rise of the state?


From the sources.

From the sources. As for the current governor, he was the only openly progressive governor in the US state.

With the advent of social media and social media analytics, it became clear ",what was the lifespan of theodore hesburgh ?
119,"how is the state budget distributed in the present historical period during that time?and if the state budget was distributed by using a fixed dollar for each year of its existence, when would the revenue stream for each year have changed, i.e. in the future, from one to five percent of one percent ",in the time that hesburgh was president of notre dame by what factor did the operating budget increase ?
