,generated question,gold question
31,How many Super Bowl appearances has Colorado made?,How many appearances have the Denver Broncos made in the Super Bowl?
32,When was the team founded?,What year was the Carolina Panthers franchise founded?
33,Who defeated the Panthers 49–15?,What team did the Panthers defeat?
34,Who got defeated by the Broncos?,Who did the Broncos prevent from going to the Super Bowl?
35,Who defeated the Panthers 49–15?,Who did the Panthers beat in the NFC Championship Game?
36,Who got defeated by the Broncos?,Who lost to the Broncos in the AFC Championship?
37,Who got defeated by the Broncos?,Who were the defending Super Bowl champions?
38,How many teams have made the Super Bowl?,How many teams have been in the Super Bowl eight times?
39,Who was named the NFL Most Valuable Player?,Who was this season's NFL MVP?
40,How many wins did the Pants last season?,What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?
41,Who was named the NFL Most Valuable Player?,Which Carolina Panthers team member was picked as the team's MVP in 2015? 
42,How many wins did the Broncos have in the season?,What were the win/loss game stats for the Denver Bronco's regular season in 2015?
43,How many teams have made the Super Bowl?,How many teams have played in the Super Bowl eight times?
44,Who got defeated by the Broncos?,Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?
45,Who was named the NFL Most Valuable Player?,Who is the quarterback for the Panthers?
46,Who defeated the Panthers 49–15?,Who did Carolina beat in the NFC championship game?
47,How many NFC Championship Games were there?,How many times have the Panthers been in the Super Bowl?
48,Who got defeated by the Broncos?,Who did Denver beat in the AFC championship?
49,Who was named the NFL Most Valuable Player?,Who was the Most Valuable Player for the 2015 NFL season?
50,Who got defeated by the Broncos?,Who did Denver beat in the 2015 AFC Championship game?
51,Who defeated the Panthers 49–15?,Who did the Carolina Panthers beat in the 2015 NFC Championship game?
52,Who was named the NFL Most Valuable Player?,Who was the 2015 NFL MVP?
53,Who defeated the Panthers 49–15?,Who did the Panthers beat to become the NFC champs?
54,When was the team founded?,What year did the Carolina Panthers form?
55,Who was named the best linebacker?,Who was the Super Bowl 50 MVP?
56,How many penalties did Von Miller score?,How many fumbles did Von Miller force in Super Bowl 50?
57,Who took an early lead?,Which team held the scoring lead throughout the entire game?
58,Who was named the Super Bowl MVP?,Which Denver linebacker was named Super Bowl MVP?
59,How many solo tackles did Von Miller record?,How many solo tackles did Von Miller make at Super Bowl 50?
60,Who was limited by Denver's defense?,Who was limited by Denver's defense?
61,How many penalties did the Broncos get in this game?,How many times was Cam Newton sacked?
62,Who was named the best linebacker?,Who won the Super Bowl MVP?
63,How many turnovers did the Broncos have?,How many turnovers did Cam Newton have?
64,How many penalties did Von Miller score?,How many fumbles did Von Miller force?
65,Who was named the best linebacker?,Who was given the esteemed status of MVP for Super Bowl 50?
66,Who was named the Super Bowl MVP?,What position does Von Miller play for the Denver Broncos?
67,How many solo tackles did Von Miller have?,What was the number of solo tackles that Von Miller had in Super Bowl 50?
68,How many penalties did Von Miller score?,How many forced fumbles did Von Miller have during the Super Bowl 50 game?
69,Who was named the best linebacker?,Who won the MVP for the Super Bowl?
70,How many solo tackles did Von Miller have?,How many tackles did Von Miller get during the game?
71,How many penalties did the Broncos get in this game?,How many times was Cam Newton sacked in Super Bowl 50?
72,How many turnovers did the Broncos have?,How many times did the Denver defense force Newton into turnovers?
73,Denver's defense forced the quarterback into what?,Which Newton turnover resulted in seven points for Denver?
74,Who was named the best linebacker?,Who was the Most Valuable Player of Super Bowl 50?
75,Who was named the Super Bowl MVP?,What position does Von Miller play?
76,How many penalties did the Broncos get in this game?,How many times was the Panthers' quarterback sacked?
77,How many turnovers did the Broncos have?,How many times did the Broncos cause turnovers in the game?
78,Who was named the best linebacker?,What Denver player caused two fumbles for the Panthers?
79,How many solo tackles did Von Miller record?,How many tackles did Von Miller accomlish by himself in the game?
80,Who broadcast Super Bowl 50?,Which network broadcasted Super Bowl 50 in the U.S.?
81,How much money was an average 30-second commercial charged in the US during Super Bowl 50?,What was the average cost for a 30 second commercial during Super Bowl 50?
82,Who was in the Super Bowl 50 halftime show?,Which group headlined the Super Bowl 50 halftime show?
83,Who were the special guest performers for Super Bowl 50 halftime show?,Which performers joined the headliner during the Super Bowl 50 halftime show?
84,Who was the only show the two stars headlined in?,At which Super Bowl did Beyonce headline the halftime show?
85,Who broadcast Super Bowl 50?,Who was the broadcaster for Super Bowl 50 in the United States?
86,How much money was an average 30-second commercial charged in the US during Super Bowl 50?,What was the average cost of a 30-second commercial?
87,Who was in the US at the Super Bowl 50 halftime show?,What halftime performer previously headlined Super Bowl XLVII?
88,Who was in the Super Bowl 50 halftime show?,What halftime performer previously headlined Super Bowl XLVIII?
89,Who was in the Super Bowl 50 halftime show?,Who was the main performer at this year's halftime show?
90,Who broadcast Super Bowl 50?,Which network broadcasted the 50th Super Bowl game? 
91,How much money was an average 30-second commercial charged in the US during Super Bowl 50?,What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?
92,Who was in the Super Bowl 50 halftime show?,Who was the male singer who performed as a special guest during Super Bowl 50?
93,How many percent was the Super Bowl XLVIII broadcast watched the most?,What ranking does the Super Bowl 50 halftime show have on the list of most watched TV broadcasts?
94,Who broadcast Super Bowl 50?,What station aired the Super Bowl?
95,How much money was an average 30-second commercial charged in the US during Super Bowl 50?,How much money did a 1/2 minute commercial cost?
96,Who was in the Super Bowl 50 halftime show?,What band headlined half-time during Super Bowl 50?
97,Who were the special guest performers for Super Bowl 50 halftime show?,What two artists came out with Coldplay during the half-time show?
98,Who broadcast Super Bowl 50?,Who broadcast the Super Bowl on TV?
99,Who was in the Super Bowl 50 halftime show?,Who headlined the halftime show for Super Bowl 50?
100,Who were the special guest performers for Super Bowl 50 halftime show?,Who were special guests for the Super Bowl halftime show?
101,Who was the only show the two stars headlined in?,Which Super Bowl halftime show did Beyoncé headline?
102,How much money was an average 30-second commercial charged in the US during Super Bowl 50?,What was the cost for a half minute ad?
103,Who was in the Super Bowl 50 halftime show?,Who lead the Super Bowl 50 halftime performance?
104,Who were the special guest performers for Super Bowl 50 halftime show?,What other two famous performers were part of the Super Bowl 50 halftime?
105,Who was in the Super Bowl 50 halftime show?,What performer lead the Super Bowl XLVIII halftime show?
106,Who is the NFL Commissioner?,Who was the NFL Commissioner in early 2012?
107,What Super Bowl was being played in early 2012?,Which Super Bowl did Roger Goodell speak about?
108,When was the NFL Commissioner Roger Goodell?,In what year did Roger Goodell call Super Bowl 50 'an important game for us as a league'?
109,Who is the NFL Commissioner?,Who is the Commissioner of the National Football League?
110,"When did NFL Commissioner Roger Goodell state the league planned to make the 50th Super Bowl ""spectacular""?",When did he make the quoted remarks about Super Bowl 50?
111,Who is the NFL Commissioner?,Who was the commissioner of the NFL in 2012? 
112,Who is the NFL Commissioner?,Who if the commissioner of the NFL?
113,Who is the NFL Commissioner?,Who is the commissioner of the NFL?
114,What will the NFL Commissioner Roger Goodell be doing in the 50th Super Bowl?,"In early 2012, Goodell said that Super Bowl 50 would be what?"
115,What will the NFL Commissioner Roger Goodell be doing in the 50th Super Bowl?,What one word did the NFL commissioner use to describe what Super Bowl 50 was intended to be?
116,When was the NFL Commissioner Roger Goodell?,"What year did Roger Goodell announce that Super Bowl 50 would be ""important""?"
117,Who finally narrowed the bids to three sites?,Which Louisiana venue was one of three considered for Super Bowl 50?
118,Who finally had the best bid from New Orleans?,Which Florida venue was one of three considered for Super Bowl 50?
119,Who finally narrowed the bids to three sites?,Which California venue was one of three considered for Super Bowl 50?
120,Who finally had the best bid from New Orleans?,What venue in Miami was a candidate for the site of Super Bowl 50?
121,Who finally narrowed the bids to three sites?,What site is located in the San Francisco Bay Area?
122,Who finally narrowed the bids to three sites?,What is the name of San Francisco's stadium when looked at as a possibility for Super Bowl 50?
123,Who finally narrowed the bids to three sites?,What was the name of New Orleans' superdome at the time that Super Bowl 50 took place?
124,Who finally had the best bid from New Orleans?,What was the given name of Miami's stadium at the time of Super Bowl 50?
125,Who finally narrowed the bids to three sites?,What three stadiums did the NFL decide between for the game?
126,How many bids did the league eventually narrow to?,How many sites did the NFL narrow down Super Bowl 50's location to?
127,Who finally had the best bid from the field?,"One of the sites, Merceds-Benz Superdome, is located where?"
128,Who finally had the best bid from New Orleans?,What is the name of the stadium in Miami that was considered?
129,Who finally had the best bid from New Orleans to San Francisco?,What was the third city that was considered?
130,Who finally had the best bid from New Orleans?,What is the name of the stadium in San Francisco Bay Area?
131,Who finally had the best bid from New Orleans?,What Florida stadium was considered for Super Bowl 50?
132,Who finally narrowed the bids to three sites?,What New Orleans stadium was considered for Super Bowl 50?
133,Who finally had the best bid from New Orleans?,What is the name of the stadium where Super Bowl 50 was played?
134,When was the league announced the two finalists?,When were the two finalists for hosting Super Bowl 50 announced?
135,How many times has the South Florida/Miami area hosted the event?,How many times has the South Florida/Miami area hosted the Super Bowl?
136,Who hosted the most recent event from 2010?,What was the most recent Super Bowl hosted in the South Florida/Miami area?
137,When was Super Bowl XLIV?,When was the most recent Super Bowl hosted in the South Florida/Miami area?
138,When was the San Francisco Bay Area last hosted?,When did the San Francisco Bay area last host the Super Bowl?
139,Who was the only contender to host Super Bowl XXIV?,What was the other finalist besides Levi's Stadium?
140,When was the league announced the two finalists?,When were the finalists announced?
141,Who was the last venue the San Francisco Bay Area hosted?,In what venue did Super Bowl XIX take place?
142,When finally approved the funding plan to pay for the renovations?,On what date did the Florida legislature decide against the plan to renovate the Miami stadium?
143,When was Super Bowl XLIV?,In what year was the Super Bowl last held in the Miami/South Florida area?
144,How many finalists were the two finalists?,How many times has a Super Bowl taken place at Miami's Sun Life Stadium?
145,Who hosted the most recent event from 2010?,What was the last Super Bowl that took place at Sun Life Stadium in Miami? 
146,How many finalists were the two finalists?,"In 2012, how many stadiums were named as finalists for hosting Super Bowl 50 before the final stadium was chosen?"
147,Who refused to approve the funding plan to pay for the renovations?,What was the entity that stepped in and caused Miami's Sun Life Stadium to no longer be in the running to host Super Bowl 50?
148,When was the San Francisco Bay Area last hosted?,"Prior to this consideration, when did San Francisco last host a Super Bowl?"
149,Who has hosted the most times?,What other city has hosted the Super Bowl ten times?
150,When was the league announced the two finalists?,What date were the top two stadium choices for Super Bowl 50 announced?
151,How many times has the South Florida/Miami area hosted the event?,How many times prios has the Sun Life Stadium had Super Bowls?
152,Who has hosted the most times?,What city is tied with Miami for hosting the Super Bowl?
153,When was the San Francisco Bay Area last hosted?,When was the last time San Francisco hosted a Super Bowl?
154,Who refused to approve the funding plan to pay for the renovations?,Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?
155,When was the awarding ceremony for Super Bowl 2014?,When was Levi's Stadium awarded the right to host Super Bowl 50?
156,Who finally decided the winner at their spring meetings?,Who voted on the venue for Super Bowl 50?
157,When was the $5 billion stadium built?,When did Lev's Stadium open?
158,How much money was spent to build Levi's stadium?,How much did it cost to build Levi's Stadium?
159,Who was the first city to host a Super Bowl?,What California city last hosted the Super Bowl?
160,Who was in charge of the NFL last year?,Where did the spring meetings of the NFL owners take place?
161,When was the awarding ceremony for Super Bowl 2014?,On what date was Super Bowl 50 given to Levi's Stadium?
162,How much money was spent to build Levi's stadium?,How much did it cost to build Levi's Stadium?
163,Who was the last Super Bowl to take place in California?,"Prior to Super Bowl 50, what was the last Super Bowl in California?"
164,Who was the first city to host a Super Bowl?,In what city did the last Super Bowl in California occur?
165,When was the awarding ceremony for Super Bowl XXXVII?,What year did Levi's Stadium become fully approved to host Super Bowl 50?
166,When was the $5 billion stadium built?,When did Levi's stadium open to the public? 
167,How much money was spent to build Levi's stadium?,How much did it cost to build the stadium where Super Bowl 50 was played?
168,When was Super Bowl XIX?,"What year did a Super Bowl play in the bay area around San Francisco, prior to Super Bowl 50?"
169,Who was the last Super Bowl to take place in California?,Which Super Bowl was hosted in San Diego in 2003? 
170,When was the awarding ceremony for Super Bowl 2014?,When was San Francisco voted to be the location for Super Bowl 50?
171,When was the $5 billion stadium built?,When did Levi's Stadium open?
172,When was Super Bowl XXXVII in California?,When was the last Super Bowl in California?
173,Who was in charge of the NFL last year?,Where was the meeting held when the NFL owners voted on the location for Super Bowl 50?
174,When was the awarding ceremony for Super Bowl 2014?,When was Levi's Stadium picked for Super bowl 50?
175,When was the $5 billion stadium built?,When did Levi's Stadium open?
176,How much money was spent to build Levi's stadium?,How much did Levi's Stadium cost?
177,When was Super Bowl XXXVII in California?,When was the last time California hosted a Super Bowl?
178,Who was the head coach of Carolina Panthers?,Who coached each Super Bowl 50 participant in their most recent Super Bowl appearance prior to Super Bowl 50?
179,How many teams have completed the regular season with only one loss?,How many NFL teams have finished the regular season with one loss?
180,How many teams have acquired a 15–1 record?,How many NFL teams have gone 15-1 in one season?
181,Who got their first national title from last season?,Which team in Super Bowl 50 had a 15-1 record?
182,Denver Broncos made their second Super Bowl appearance in how many years?,What was the last Super Bowl the Broncos participated in?
183,Who was the head coach of Carolina Panthers?,Who was the head coach of the Broncos in Super Bowl XLVIII?
184,How many Super Bowl appearances from last year did the Denver Broncos have?,What was the number of times the Denver Broncos played in a Super Bowl by the time they reached Super Bowl 50?
185,How many teams have completed the regular season with only one loss?,How many NFL teams have had only one loss by the end of a regular season?
186,Whose other appearance was Carolina Panthers?,What was the first Super Bowl that the Carolina Panthers played in? 
187,How many teams have acquired a 15–1 record?,How many teams can boast a 15–1 regular season record?
188,Who were the three teams the Carolina Panthers met in the Super Bowl?,What seed was the Carolina Panthers?
189,Who were the three teams the Carolina Panthers met in the Super Bowl?,What seed was the Denver Broncos?
190,Denver Broncos made their second Super Bowl appearance in how many years?,"Prior to Super Bowl 50, when were the Broncos last there?"
191,Whose other appearance was Carolina Panthers?,"Prior to Super Bowl 50, when were the Carolina Panthers last there?"
192,How many teams have acquired a 15–1 record?,How many teams have had a 15-1 record for the regular season?
193,How many losses did Carolina Panthers last season?,How many games did the Panthers lose in the regular season before Super Bowl 50?
194,How many teams have made the most appearances to win the Super Bowl?,How many teams up to Super Bowl 50 have been to the championship game eight times?
195,Who was the head coach of Carolina Panthers?,"Before Super Bowl 50, what was the coach's name that coached both teams for their last Super Bowl appearances?"
196,Who was the team's longest standing running back?,Whic Carolina Panthers running back was waived?
197,Who was the wide receiver the Carolina Panthers lost in preseason?,Which Carolina Panthers wide receiver suffered a torn ACL before the season began?
198,How many teams have won at least 15 regular season games?,How many teams have won 15 regular season games since the 16-game schedule was adopted?
199,When was the league expanded to a 16-game schedule?,In what year did the NFL switch to a 16-game regular season?
200,Who got their best regular season in franchise history?,Who had the best record in the NFC?
201,Who were the most players selected to the Pro Bowl?,How many Panthers went to the Pro Bowl?
202,How many All-Pro selections were made?,How many Panthers were designated All-Pro?
203,Who was the wide receiver the Carolina Panthers lost in preseason?,What Panther tore his ACL in the preseason?
204,When was the league expanded to a 16-game schedule?,What year did the league begin having schedules with 16 games in them?
205,When was the team that the Carolina Panthers started the season 14–0?,What year did the the Saints hit a 13-0 record?
206,Who set NFC best regular season record?,When did the Packers arrive at a record of 13-0?
207,What injury caused Kelvin Benjamin to leave the Carolina Panthers?,What injury did the Carolina Panthers lose Kelvin Benjamin to during their preseason?
208,Who was the wide receiver the Carolina Panthers lost in preseason?,Which player did the Panthers lose to an ACL injury in a preseason game?
209,Who was the team's longest standing running back?,Which running back did the Panthers waive?
210,When was the league expanded to a 16-game schedule?,When did the NFL start their 16 game seasons?
211,Who were the most players selected to the Pro Bowl?,How many Panthers players were selected to the Pro Bowl?
212,Who got their best regular season in franchise history?,Which team had the best regular season in their history?
213,When was the league expanded to a 16-game schedule?,When did the league go from 15 to 16 games in the regular season?
214,Who got their best regular season in franchise history?,What team had the best start ever in the NFL?
215,Who were the most players selected to the Pro Bowl?,How many Panthers players were chosen for the 2015 season's Pro Bowl?
216,How many players at Carolina's offensive line also feature two Pro Bowl selections?,How many Pro Bowlers were on the Panthers offense?
217,How many total touchdowns did Cam Newton have?,How many total touchdowns did Cam Newton score?
218,How many interceptions did Cam Newton have?,How many interceptions did Cam Newton throw?
219,How many penalties did Ginn return last?,How many punts did Ted Ginn Jr. return?
220,Who was Newton's leading receiver?,Who started at tight end for the Panthers?
221,How many total touchdowns did Cam Newton have?,What is the record number of touchdowns Cam Newton has had? 
222,How many touchdowns did Cam Newton throw?,What is the best QB ranking that Cam Newton holds?
223,How many passes did Greg Olsen catch?,What are the most passes that Greg Olsen has had?
224,Who were the three key players from last season?,What position does Jerricho Cotchery play?
225,Who was the Panthers backfield running back?,Which Panthers RB scored 6 TDs in the 13 games leading up to Super Bowl 50?
226,How many players at Carolina's offensive line also feature two Pro Bowl selections?,How many Offensive players from the Panthers were selected to play in the Pro Bowl?
227,Who was the team's quarterback?,Who is the quarterback for the Carolina Panthers?
228,How many yards did Cam Newton throw last season?,How many yards did Newton throw for in 2015?
229,How many total touchdowns did Cam Newton have?,How many touchdowns did Newton have in 2015?
230,How many players at Carolina's offensive line also feature two Pro Bowl selections?,How many touchdowns did Jonathan Stewart have in 13 games?
231,How many total points did the Panthers offense score in the NFL?,How many points did Carolina lead the NFL in scoring for offensive plays?
232,How many yards did Cam Newton throw last season?,how many yards did Newton get for passes in the 2015 season?
233,How many total touchdowns did Cam Newton have?,How many touchdowns did Newton get in the 2015 season?
234,How many touchdowns did Cam Newton throw?,What was Newton's quarterback rating for 2015?
235,How many receptions for the games Corey Brown had?,How many receptions did Cotchery  get for the 2015 season?
236,How many points did the Pariitans defense give up?,How many points did the Panthers defense surrender?
237,How many total sacks did Jared Allen have?,How many career sacks did Jared Allen have?
238,How many total tackles did Luke Kuechly have?,How many tackles did Luke Kuechly register?
239,How many players at the linebacker position were also selected to the probowl?,How many balls did Josh Norman intercept?
240,Who led the team in the NFL last season?,Who registered the most sacks on the team this season?
241,How many interceptions did the Panthers have?,How many interceptions are the Panthers defense credited with in 2015?
242,Who led the team in the NFL last season?,Who led the Panthers in sacks?
243,How many players at the linebacker position were also selected to the probowl?,How many Panthers defense players were selected for the Pro Bowl?
244,How many players at the linebacker position were also selected to the probowl?,How many forced fumbles did Thomas Davis have?
245,Who led the team with the most interceptions?,Which player had the most interceptions for the season?
246,How many interceptions did the Panthers have?,How many 2015 season interceptions did the Panthers' defense get?
247,Who had the most career sacks?,Who had five sacks in nine games as a Carolina Panthers starter?
248,Who led the team in tackles (118)?,Who was the Panthers' tackle leader for 2015?
249,How many players at the same position got sacks?,How many interceptions did Josh Norman score touchdowns with in 2015?
250,Who was the head coach at Denver Broncos?,Who is the head coach of the Broncos?
251,Who was the backup quarterback?,Who played quarterback for the Broncos after Peyton Manning was benched?
252,Who was Manning's former team?,Who did Peyton Manning play for as a rookie?
253,Who defeated the Broncos last?,Who did the Broncos play in the last week of the regular season?
254,Who was the defensive coordinator at Denver Broncos?,Who is Denver's defensive coordinator?
255,How many divisional championships had head coach John Fox won in multiple years?,How many years was John Fox the head coach of the Denver Broncos?
256,Who was the head coach at Denver Broncos?,"What is the name of the Bronco's head coach, who was hired after John Fox? "
257,Who was Manning's former team?,What was the first team Peyton Manning began playing for?
258,How many years had Peyton Manning been with the Denver Broncos?,How old was Peyton Manning in 2015?
259,What injury caused the Broncos to install a run-oriented offense?,"In the 10th week of the 2015 season, what injury was Peyton Manning dealing with?"
260,Who was the head coach at Denver Broncos?,"When John Fox left as head coach for the Broncos, who replaced him?"
261,Who led the team in the games last season?,Who was the quarterback for the Broncos 2015 season?
262,Who suffered injuries at the same time as Manning?,What injury did Manning suffer the summer before the season started?
263,How many years had Peyton Manning been with the Denver Broncos?,How old was Manning at the beginning of the 2015 season?
264,How many divisional championships had head coach John Fox won in multiple years?,How many games did the Broncos lose during their regular 2015 season?
265,Who was the head coach at Denver Broncos?,What coach left the Broncos after the season prior to Super Bowl 50?
266,Who led the team in the games last season?,"According to game stats, which Super Bowl 50 quarterback had his worst year since his first season as a player in the NFL?"
267,Who was the head coach at Denver Broncos?,Who was the Denver head coach for Super Bowl 50?
268,Who suffered a partial tear from plantar fasciitis?,What foot was injured on Manning that sidelined him in week 10?
269,Who was the defensive coordinator at Denver Broncos?,Who was the defensive coordinator for the Broncos in 2015?
270,How many touchdowns did the Vikings have?,What was Peyton Manning's passer rating for the season?
271,How many interceptions did Manning have?,How many picks did Peyton Manning throw in the season?
272,Who was the team's leader in receiving?,Who registered the most receptions on the Broncos?
273,Who was the team's leading rusher?,Who had the most rushing yards on the Broncos?
274,How many touchdowns did the Vikings have?,How many touchdowns did Brock Osweiler throw in the season?
275,How many touchdowns did the Vikings have?,What was the passer rating for Peyton Manning that he finished out with for the season? 
276,How many yards did Manning throw for?,How may yards did Peyton Manning throw?
277,How many touchdowns did Manning throw?,What was the number of 17 interceptions that Peyton Manning had by end of the year?
278,Who was the team's leader in receiving?,Who had the most receptions out of all players for the year?
279,Who got the most receptions from Emmanuel Sanders?,What position does Demaryius Thomas play?
280,How many touchdowns did the Vikings have?,What was Manning's passer rating at the end of the season?
281,How many interceptions did Manning have?,How many times was Manning intercepted during the 2015 season?
282,Who was the team's leader in receiving?,Who led the Broncos with 105 receptions?
283,How many touchdowns did Ronnie Hillman have?,How many touchdowns did Ronnie Hillman make?
284,How many touchdowns did the Vikings have?,What was Manning's passer rating for the 2015 season?
285,How many interceptions did Manning have?,How many interceptions did manning have in 2015?
286,Who caught the most touchdowns from a former NFL pitcher?,What Denver player caught the ball 76 times in the 2015 season?
287,Who was the team's leading rusher?,Who was the Broncos' leading rusher for the 2015 season?
288,How many yards per carry average did Ronnie Hillman have average?,What was Ronnie Hillman's average yards per carry in 2015?
289,How many yards was the defense ranked first in?,How many yards did the Broncos' defense give up?
290,How many quarters did the Broncos win by?,How many sacks did Derek Wolfe register?
291,Who led the team in total tackles?,Who was first on the team in total tackles?
292,How many interceptions did the other two rookie linebackers get?,How many picks did Aqib Talib have?
293,Who led the team with the most sacks?,What position does DeMarcus currently play? 
294,Who led the team with the most sacks?,What position does Brandon Marshall currently play? 
295,Who all had at least the average number of sacks?,What is the position Derek Wolfe plays currently? 
296,How many penalties did the Broncos allow in all games?,How many points did the Broncos defense allow their opponents to get?
297,Who led the team with the most sacks?,Which linebacker had the most sacks on the team?
298,Who led the team in total tackles?,Which linebacker led the Broncos in tackles?
299,How many interceptions did the other two rookie linebackers get?,How many interceptions did Aqib Talib have for the regular season?
300,Who led the team with the most sacks?,Who forced four fumbles for the Broncos in the 2015 season?
301,Who led the team in total tackles?,What Denver player had 109 tackels for the 2015 season?
302,Who all had at least 30 sacks?,What two Denver players ranked at 5 percent for sacks?
303,Who got defeated at the divisional round?,Who lost to the Panthers in the divisional round of the playoffs?
304,Who defeated the Panthers at their last game?,Who did the Panthers face in the NFC Championship Game?
305,How many yards did the Pants get?,How many total yards did the Panthers have in the NFC Championship?
306,How many turnovers did the Panthers force?,How many times did Arizona turn the ball over in the NFC Championship?
307,How many points did the Pantsit win by?,What was the final score of the game between the Panthers and the Seahawks?
308,Who got defeated at the divisional round?,What was the team the Carolina Panthers played immediately prior to the NFC Championship game? 
309,How many points did the Pantsit win by?,What was the score of the last game the Carolina Panthers played prior to the NFC Championship?
310,How many yards did the Pants get?,How many yards did the Carolina Panthers gain in the 487 in the NFC Championship Game?
311,Who got defeated at the divisional round?,Who did Carolina beat in the divisional round?
312,Who defeated the Panthers at their last game?,Who did the Panthers play to advance to the Super Bowl?
313,How many turnovers did the Panthers force?,How many turnovers did the Panthers force during the NFC Championship game?
314,Who got defeated at the divisional round?,Who did the Panthers beat in the divisional round?
315,How many points did the Pantsiton blow out the Cardinals by?,What was the score for the 2015 NFC championship game?
316,Who defeated the Panthers at their last game?,Who did the Panthers play in their division championship game?
317,How many yards did the Pants get?,How many yards did the Panthers get for the division championshipt game?
318,Who defeated the Broncos last?,Who lost to the Broncos in the divisional round?
319,How many points did the Steelers score?,How many points did the Broncos score in the last three minutes of the game versus Pittsburgh?
320,Who defeated the Broncos last?,Who won Super Bowl XLIX?
321,How many points did the Broncos win by?,What was the final score of the AFC Championship Game?
322,How many seconds was there left on the clock?,How much time remained on the clock when the Broncos made the interception that clinched the AFC Championship Game?
323,Who defeated the Pittsburgh Steelers in the divisional round?,What team was the divisional round winner between the Broncos and Steelers?
324,How many points did the Steelers score?,What was the final score of the game between the Broncos and Steelers?
325,Who defeated the Broncos last?,Who won Super Bowl XLIX?
326,How many penalties did the Patriots receive?,How many seconds were left in the game when the Broncos intercepted the pass that won the game?
327,Who got interceptions in the games last?,"During the Bronco's playoff games, who did not throw at all?"
328,Who defeated the Broncos last?,Who did the Broncos beat in the divisional game?
329,How many points did the Steelers score?,How many points did the Broncos score in the final three minutes of the Pittsburgh game?
330,Who defeated the Broncos last?,Who did the Broncos defeat in the AFC Championship game?
331,Who defeated the Broncos last?,Who did the Broncos beat to win their division in 2015?
332,Who defeated the Broncos last?,Who did the Broncos beat tp become the AFC champions?
333,How many penalties did the Patriots receive?,How many seconds were left in the game when the Patriots failed their 2-point conversion?
334,Who suffered a major setback?,What Carolina player was injured in the NFC Championship Game?
335,What injury did Thomas Davis endure from last?,What injury did Thomas Davis suffer in the NFC Championship?
336,How many injuries did Davis endure from prior to coming down?,How many times had Thomas Davis torn his ACL in his career?
337,How many years had Davis played for Carolina?,How many years has Thomas Davis played in the NFL?
338,What type of injuries has the former head coach had in his career?,"What injury did Thomas Davis suffer from repeatedly, for a total of three times, during his career?"
339,What part of the body went down for Thomas Davis in the NFC Championship game?,What body part did Thomas Davis break during the NFC Championship Game?
340,How many years had Davis played for Carolina?,How many years has Thomas Davis played in the NFL?
