,generated question,gold question
18," where are the stars of the franchise in ""AFC""?
AFC Stadium is the new home of the NFL's Denver Broncos (and a significant part of it in California). The stadium has changed significantly over the years, and its status as a venue for the Super Bowl has changed slightly. The 49ers and Dolphins will r",What stadium did Super Bowl 50 take place in?
19," where are the stars of the franchise in ""AFC""?
AFC Stadium, the new home of the NFL franchise, is a historic stadium in Houston.
(AFC) Stadium has an all glass exterior with a glass floor, two new seats, and a dedicated ""garden"". The football field is one of a series of six designated ""public squar",What was the final score of Super Bowl 50? 
20,"what are the odds that Peyton Manning is ""AFC Champions of the National Football League""? Well, the odds for the Broncos are 5-1 (it is almost impossible to do with our random drawing that this is a football team). So what's the odds of Peyton Manning being the AFC Champion? Yes, the odds of a Peyto","What month, day and year did Super Bowl 50 take place? "
21,"what are the odds that Peyton Manning is ""AFC Champions of America"" at the 2015 game? One way to test that proposition can be to compare the odds of Manning getting the ball under the goal line each of the first half and his two third-half interceptions with a number of other footballs. In fact, her",What year was Super Bowl 50?
22," where are the stars of the franchise in ""AFC""?
AFC Stadium, the new home of the NFL franchise Denver Broncos (and a significant part of it in California and several areas around Los Angeles), has been a key component of the Super Bowl LII championship as well as the 49ers 49ers Super Bowl XLII vict",What team was the AFC champion?
23," where are the stars of the franchise in ""AFC""?
AFC Stadium, the new home of the Steelers in the AFC (where Steelers play the Cleveland Browns in a game with the Indianapolis Colts that night), was constructed on the National Park Service's National Preserve as part of the National Reconnaissance Of",What team was the NFC champion?
24," where are the stars of the franchise in ""AFC""?
AFC Stadium, the new home of the NFL franchise Denver Broncos (and a significant part of it in California and several areas around Los Angeles), has been a key component of the Super Bowl LII championship as well as the 49ers 49ers Super Bowl XLII vict",Who won Super Bowl 50?
25,"what are the odds that Peyton Manning is ""AFC Champions of America"" at the 2015 game? One way to test that proposition can be to compare the odds of Manning getting the ball under the goal line each of the first half and his two third-half interceptions with a number of other footballs. In fact, her",Super Bowl 50 determined the NFL champion for what season?
26," where are the stars of the franchise in ""AFC""?
AFC Stadium, the new home of the NFL franchise Denver Broncos (and a significant part of it in California and several areas around Los Angeles), has been a key component of the Super Bowl LII championship as well as the 49ers 49ers Super Bowl XLII vict",Which team won Super Bowl 50.
27," where are the stars of the franchise in ""AFC""?
AFC Stadium, Santa Clara, California (in the city of Santa Clara) (Photo: Getty Images)
It is here that I make my decision
It's here that I begin the process of finding the best place to play football for the football team that we want to play for.
AFC",Where was Super Bowl 50 held?
28," where are the stars of the franchise in ""AFC""?
AFC Stadium, the new home of the NFL franchise, is a historic stadium in Houston.
(AFC) Super Bowl L was made of 11 football stadiums.
For the 2012/2013 season, the league had the option of temporarily suspending football games during the regular seaso",The name of the NFL championship game is?
29," where are the stars of the franchise in ""AFC""?
AFC Stadium, the new home of the NFL franchise Denver Broncos (and a significant part of it in California and several areas around Los Angeles), has been a key component of the Super Bowl LII championship as well as the 49ers 49ers Super Bowl XLII vict",What 2015 NFL team one the AFC playoff?
30," where are the teams that have taken the ""A"" in the past 25 years, and have won championships?
Why do the top teams make the ""A"" in a given year? The answer that comes to mind is the Houston Texans, the Kansas City Chiefs, as well as the Chicago Bears. In fact, that Dallas Bears and Green Bay Packer",Which Carolina Panthers player was named Most Valuable Player?
31," where are the teams that have taken the ""A"" in the past 6 1/2 years? First off, the teams that can most likely change their name. Here is where it all comes down to...
The Panthers continue to make the playoffs. The Packers are a must-see football team. Their name is officially retired. The Green B",How many appearances have the Denver Broncos made in the Super Bowl?
32," where are the teams that have taken the ""A"" in the past 25 years, and have won championships?
Why do the top teams make the ""A"" in a given year? The answer that this analysis was given was that teams went through multiple periods of growth as a league following the expansion of the NFL. The NFL bec",What year was the Carolina Panthers franchise founded?
33," where are the teams that have taken the ""A"" in the past 25 years, and have won championships?
Why do the team that has won the Super Bowl in a given year, which began with the 1986 season, continue its efforts to compete in the 2015 Super Bowl, the following year?
The answer is that this is a diffi",What team did the Panthers defeat?
34," where are the teams that have taken the ""A"" in the past 25 years, and have won championships?
Why do the Patriots so often play in the Super Bowl on the same day? Why are they so often defeated on the road?
It's easy enough to say that the Patriots play in the Super Bowl on a Sunday and have won th",Who did the Broncos prevent from going to the Super Bowl?
35," where are the teams that have taken the ""A"" in the past 25 years, and have won championships?
Why do the team that has won the Super Bowl in a given year, which began with the 1986 season, continue its efforts to compete in the 2015 Super Bowl, the following year?
The answer is that this is a diffi",Who did the Panthers beat in the NFC Championship Game?
36," where are the teams that have taken the ""A"" in the past 25 years, and have won championships?
Why do the Patriots so often play in the Super Bowl on the same day? Why are they so often defeated on the road?
It's easy enough to say that the Patriots play in the Super Bowl on a Sunday and have won th",Who lost to the Broncos in the AFC Championship?
37," where are the teams that have taken the ""A"" in the past 25 years, and have won championships?
Why do the Patriots so often play in the Super Bowl on the same day? Why are they so often defeated on the road?
It's easy enough to say that the Patriots play in the Super Bowl on a Sunday and have won th",Who were the defending Super Bowl champions?
38,"what are seven teams worth? Which is ""A"" (5-10)?
Two, one, or does ""B"" (5-9) belong in the top five?
With an all-time record of 18-14-11, the Packers are as good as it gets in football. The Cowboys were outscored 29–38 in the NFC Championship game. The Patriots (0–6) and New York Jets (0–6) finished",How many teams have been in the Super Bowl eight times?
39," where are the teams that have taken the ""A"" in the past 25 years, and have won championships?
Why do the top teams make the ""A"" in a given year? The answer that comes to mind is the Houston Texans, the Kansas City Chiefs, as well as the Chicago Bears. In fact, that Dallas Bears and Green Bay Packer",Who was this season's NFL MVP?
40," where are the teams that have taken the ""A"" in the past 25 years, and have won championships?
Why do the top teams make more of a pass in a game with the highest pass-carrying team in the regular season?
It's easy enough to say that the Patriots play football like a football team, but a defense has",What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?
41," where are the teams that have taken the ""A"" in the past 25 years, and have won championships?
Why do the top teams make the ""A"" in a given year? The answer that comes to mind is the Houston Texans, the Kansas City Chiefs, as well as the Chicago Bears. In fact, that Dallas Bears and Green Bay Packer",Which Carolina Panthers team member was picked as the team's MVP in 2015? 
42," where are the teams that have taken the ""A"" in the past 6 1/2 years? First off, the teams that can most likely change their name. Here is where it all comes down to...
The Panthers continue to make the playoffs. The Packers are a must-see football team. Their win over the Dallas Cowboys left Green ",What were the win/loss game stats for the Denver Bronco's regular season in 2015?
43," where are the teams that have taken the ""A"" in the past 6 1/2 years? First off, the teams that can most likely change their name. Here is where it all comes down to...
The Panthers continue to make the playoffs. The Packers are a must-see football team. Their name is likely a key indicator of their",How many teams have played in the Super Bowl eight times?
44," where are the teams that have taken the ""A"" in the past 25 years, and have won championships?
Why do the Patriots so often play in the Super Bowl on the same day? Why are they so often defeated on the road?
It's easy enough to say that the Patriots play in the Super Bowl on a Sunday and have won th",Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?
45," where are the teams that have taken the ""A"" in the past 25 years, and have won championships?
Why do the top teams make the ""A"" in a given year? The answer that comes to mind is the Houston Texans, the Kansas City Chiefs, as well as the Chicago Bears. In fact, that Dallas Bears and Green Bay Packer",Who is the quarterback for the Panthers?
46," where are the teams that have taken the ""A"" in the past 25 years, and have won championships?
Why do the team that has won the Super Bowl in a given year, which began with the 1986 season, continue its efforts to compete in the 2015 Super Bowl, the following year?
The answer is that this is a diffi",Who did Carolina beat in the NFC championship game?
47," where are the teams that have taken the ""A"" in the past 6 1/2 years? First off, the teams that can most likely change their name. Here is where it all comes down to...
The Panthers continue to make the playoffs. The Packers are a must-see football team. Their name is likely a key indicator of their",How many times have the Panthers been in the Super Bowl?
48," where are the teams that have taken the ""A"" in the past 25 years, and have won championships?
Why do the Patriots so often play in the Super Bowl on the same day? Why are they so often defeated on the road?
It's easy enough to say that the Patriots play in the Super Bowl on a Sunday and have won th",Who did Denver beat in the AFC championship?
49," where are the teams that have taken the ""A"" in the past 25 years, and have won championships?
Why do the top teams make the ""A"" in a given year? The answer that comes to mind is the Houston Texans, the Kansas City Chiefs, as well as the Chicago Bears. In fact, that Dallas Bears and Green Bay Packer",Who was the Most Valuable Player for the 2015 NFL season?
50," where are the teams that have taken the ""A"" in the past 25 years, and have won championships?
Why do the Patriots so often play in the Super Bowl on the same day? Why are they so often defeated on the road?
It's easy enough to say that the Patriots play in the Super Bowl on a Sunday and have won th",Who did Denver beat in the 2015 AFC Championship game?
51," where are the teams that have taken the ""A"" in the past 25 years, and have won championships?
Why do the team that has won the Super Bowl in a given year, which began with the 1986 season, continue its efforts to compete in the 2015 Super Bowl, the following year?
The answer is that this is a diffi",Who did the Carolina Panthers beat in the 2015 NFC Championship game?
52," where are the teams that have taken the ""A"" in the past 25 years, and have won championships?
Why do the top teams make the ""A"" in a given year? The answer that comes to mind is the Houston Texans, the Kansas City Chiefs, as well as the Chicago Bears. In fact, that Dallas Bears and Green Bay Packer",Who was the 2015 NFL MVP?
53," where are the teams that have taken the ""A"" in the past 25 years, and have won championships?
Why do the team that has won the Super Bowl in a given year, which began with the 1986 season, continue its efforts to compete in the 2015 Super Bowl, the following year?
The answer is that this is a diffi",Who did the Panthers beat to become the NFC champs?
54," where are the teams that have taken the ""A"" in the past 25 years, and have won championships?
Why do the top teams make the ""A"" in a given year? The answer that this analysis was given was based upon two criteria. The first criterion was the fact that the franchises that had taken those seasons out",What year did the Carolina Panthers form?
55," where are the stats that show that is ""A"" Broncos quarterback? In the following quote, one would think that ""A"" can mean a lot. However, in a game with three turnovers and four forced fumbles, Denver's quarterback went 2-for-4 as a passer.
Von had two interceptions that were his only two attempts. ",Who was the Super Bowl 50 MVP?
56," where are the stats that show that is ""A"" in the stats that show ""A"", while the stats that show ""A"" in the statistics that show it in a meaningful way? The Broncos are not good at football. The fact that they don't play football as often as they do is not a factor in that. When a player has had a d",How many fumbles did Von Miller force in Super Bowl 50?
57," where are the big scores? Which is ""A"" (5-10)?
Well, Broncos QB Peyton Manning had two big scores, a forced fumble and a field goal return with 11 seconds left that made it 11-4. Manning went 2-for-4 as the Broncos had the ball. In fact, Manning went 3-for-5 in the game, which makes him one of the ",Which team held the scoring lead throughout the entire game?
58,"what are the stats that Peyton's is on the list of the MVP votes?
Well, while he's played in the big leagues so far (15.7 in college and 14.8 in the NFL),the Broncos continue to make his impact. The play he made on the play that gave him the most carries of any of his six regular starters in the ser",Which Denver linebacker was named Super Bowl MVP?
59,"what are seven solo tackles? Which is ""six solo tackles""? I think the Broncos had a chance to gain a few more yards against Denver's linebackers. With three straight big sacks he allowed four pass breakups. So who takes the quarterback's reins, the playmakers, the offensive coordinator and the footb",How many solo tackles did Von Miller make at Super Bowl 50?
60," where are the Broncos' defenders in the ""Defender of the Year"" award, and where did Denver's offense be in that regard so far? And what does the Broncos do with that information?",Who was limited by Denver's defense?
61,"what are seven sacks worth? Seven is ""rough"" in the sense that the Broncos had a chance to take down the Saints in the fourth quarter but it ended up in a touchdown with just four minutes left, so who was the underdog?
The Broncos gave up only 21 points (five total points) to the Saints, a team with",How many times was Cam Newton sacked?
62," where are the stats that show that is ""A"" Broncos quarterback? In the following quote, one would think that ""A"" can mean a lot. However, in a game with three turnovers and four forced fumbles, Denver's quarterback went 2-for-4 as a passer.
Von had two interceptions that were his only two attempts. ",Who won the Super Bowl MVP?
63,"what are the stats that Peyton's career averages at Miami are the record that the Broncos would have won if Peyton hadn't gone down with so many turnovers? With it in mind, he'd rank 10th on the list of greatest passers ever, but don't worry about that. The following stats are from statistics provid",How many turnovers did Cam Newton have?
64,"what are the odds that Peyton's career will finally end in the NFL? The Broncos had a chance to defeat the Colts to lift them above a division rival. Now let's do it. The Indianapolis Colts made a number of key moves, including a huge one:they were given the opportunity to play a game against the Ne",How many fumbles did Von Miller force?
65," where are the stats that show that is ""A"" Broncos quarterback? In the following quote, one would think that ""A"" can mean a lot. However, in a game with three turnovers and four forced fumbles, Denver's quarterback went 2-for-4 as a passer.
Von had two interceptions that were his only two attempts. ",Who was given the esteemed status of MVP for Super Bowl 50?
66,"what are the stats that Peyton's is the best player in the NFL that the Broncos would have won the Super Bowl in? In a general sense, it is true that a better player would have an increased chance of winning the league. However, the Broncos do play with a ton of risk and the risk comes in small dose",What position does Von Miller play for the Denver Broncos?
67," where are the stats that show that is ""A"" in the stats that show ""A"", while the stats that show ""A"" in the statistics that show it in a meaningful way? The Broncos are not good at football. The fact that they don't play football as often as they do is not a factor in that. When a player has had a d",What was the number of solo tackles that Von Miller had in Super Bowl 50?
68," where are the stats that show that is ""A"" in the stats that show ""A"", while the stats that show ""A"" in the statistics that show it in a meaningful way? The Broncos are not good at football. The fact that they don't play football as often as they do is not a factor in that. When a player has had a d",How many forced fumbles did Von Miller have during the Super Bowl 50 game?
69," where are the stats that show that is ""A"" Broncos quarterback? In the following quote, one would think that ""A"" can mean a lot. However, in a game with three turnovers and four forced fumbles, Denver's quarterback went 2-for-4 as a passer.
Von had two interceptions that were his only two attempts. ",Who won the MVP for the Super Bowl?
70," where are the stats that show that is ""A"" in the stats that show ""A"", while the stats that show ""A"" in the statistics that show it in a meaningful way? The Broncos are not good at football. The fact that they don't play football as often as they do is not a factor in that. When a player has had a d",How many tackles did Von Miller get during the game?
71,"what are seven sacks worth? Seven is ""rough"" in the sense that the Broncos had a chance to take down the Saints in the fourth quarter but it ended up in a touchdown with just four minutes left, so who was the underdog?
The Broncos gave up only 21 points (five total points) to the Saints, a team with",How many times was Cam Newton sacked in Super Bowl 50?
72,"what are the stats that Peyton's career averages at Miami are the record that the Broncos would have won if Peyton hadn't gone down with so many turnovers? With it in mind, he'd rank 10th on the list of greatest passers ever, but don't worry about that. The following stats are from statistics provid",How many times did the Denver defense force Newton into turnovers?
73,what are the odds that Peyton's career will be over in the future? Since 2008 the game has been a bit over-celebrated. This is mainly due in part to the fact that there was never a time who was willing to make a huge play play for a team. As the game becomes more relevant as of this writing a player,Which Newton turnover resulted in seven points for Denver?
74," where are the stats that show that is ""A"" Broncos quarterback? In the following quote, one would think that ""A"" can mean a lot. However, in a game with three turnovers and four forced fumbles, Denver's quarterback went 2-for-4 as a passer.
Von had two interceptions that were his only two attempts. ",Who was the Most Valuable Player of Super Bowl 50?
75,"what are the stats that Peyton's is the best player in the NFL that the Broncos would have won the Super Bowl in? In a general sense, it is true that a better player would have an increased chance of winning the league. However, the Broncos do play with a ton of risk and the risk comes in small dose",What position does Von Miller play?
76,"what are seven sacks worth? Seven is ""rough"" in the sense that the Broncos had a chance to take down the Saints in the fourth quarter but it ended up in a touchdown with just four minutes left, so who was the underdog?
The Broncos gave up only 21 points (five total points) to the Saints, a team with",How many times was the Panthers' quarterback sacked?
77,"what are the stats that Peyton's career averages at Miami are the record that the Broncos would have won if Peyton hadn't gone down with so many turnovers? With it in mind, he'd rank 10th on the list of greatest passers ever, but don't worry about that. The following stats are from statistics provid",How many times did the Broncos cause turnovers in the game?
78," where are the stats that show that is ""A"" Broncos quarterback? In the following quote, one would think that ""A"" can mean a lot. However, in a game with three turnovers and four forced fumbles, Denver's quarterback went 2-for-4 as a passer.
Von had two interceptions that were his only two attempts. ",What Denver player caused two fumbles for the Panthers?
79,"what are seven-plus tackles and two ½ sacks for Broncos quarterback Peyton Manning?
Well, one would think that the Broncos should have given Manning more of a chance in a game he had no chance of taking. So who takes the quarterback job. Well, he's a five-technique playmaker, and as far as we know, ",How many tackles did Von Miller accomlish by himself in the game?
80,"what are the odds that the Super Bowl 50 halftime show won the record record?
As a sports broadcasting company, CBS knows that a halftime show can make a huge difference on the national level when it comes to national television ratings. Based on the Super Bowl halftime show's performance on the air",Which network broadcasted Super Bowl 50 in the U.S.?
81," where are the big shows? Which is ""large"" (that's that big?) and which is ""small?"" But do big shows earn a lot of ad time in a large media market?
Well, not quite!
The fact that Super Bowl 50 cost $5 million was likely the result of a lot of marketing by the ad agencies and social media channels. T",What was the average cost for a 30 second commercial during Super Bowl 50?
82,"what are the odds that the movie is ""part of the global record-setter""? Well, the odds for Coldplay are pretty good. Coldplay scored almost four out of five stars on an all-time list of the world's top 20 highest earners (more as a percentage of total revenues than as revenue per song). The only oth",Which group headlined the Super Bowl 50 halftime show?
83," where are Beyoncé and Bruno Mars in ""Live Music Television""? Beyoncé and Bruno Mars have been friends with and in-universe with a multitude of celebrities. Here is where he/she/it/its show will continue its relationship with Super Bowl 50:",Which performers joined the headliner during the Super Bowl 50 halftime show?
84," where are the big shows? Which is ""large"" (5-10 million, 10–50 million or 100 million)? In both cases, the audience is large in a large size. The Big Show, of course, takes its audiences from the USA/Canada sub-region (all shows in this sub-region will be shown at least 2 months in advance). The Su",At which Super Bowl did Beyonce headline the halftime show?
85,"what are the odds that the Super Bowl 50 halftime show won the record record?
As a sports broadcasting company, CBS knows that a halftime show can make a huge difference on the national level when it comes to national television ratings. Based on the Super Bowl halftime show's performance on the air",Who was the broadcaster for Super Bowl 50 in the United States?
86," where are the big shows? Which is ""large"" (that's that big?) and which is ""small?"" But do big shows earn a lot of ad time in a large media market?
Well, not quite!
The fact that Super Bowl 50 cost $5 million was likely the result of a lot of marketing by the ad agencies and social media channels. T",What was the average cost of a 30-second commercial?
87," where are Beyoncé's performances in the Super Bowl halftime show the record show?
As a sports broadcasting company, NBCUniversal should be considered a significant market.
(Of course, NBC has an extensive programming history as a global distributor of television. In 2012 alone, as part of its new o",What halftime performer previously headlined Super Bowl XLVII?
88," where are the stars of the movie in ""Hot Tub Time Machine""? In the U.S., the best known model of the movie so far (and the most anticipated actress of her age), Beyoncé, gets a big screen role, while the other stars of her age get the same role in this story. So far, we only have two known stars to",What halftime performer previously headlined Super Bowl XLVIII?
89,"what are the odds that the movie is ""part of the global record-setter""? Well, the odds for Coldplay are pretty good. Coldplay scored almost four out of five stars on an all-time list of the world's top 20 highest earners (more as a percentage of total revenues than as revenue per song). The only oth",Who was the main performer at this year's halftime show?
90,"what are the odds that the Super Bowl 50 halftime show won the record record?
As a sports broadcasting company, CBS knows that a halftime show can make a huge difference on the national level when it comes to national television ratings. Based on the Super Bowl halftime show's performance on the air",Which network broadcasted the 50th Super Bowl game? 
91," where are the big shows? Which is ""large"" (that's that big?) and which is ""small?"" But do big shows earn a lot of ad time in a large media market?
Well, not quite!
The fact that Super Bowl 50 cost $5 million was likely the result of a lot of marketing by the ad agencies and social media channels. T",What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?
92," where are the stars of the movie in ""Hot Tub Time Machine""? In the U.S., the best known model of the movie so far (and the most anticipated actress of her age), Beyoncé, gets a big screen role, while the other stars of her age get the same role in this story. So far, we only have two known stars to",Who was the male singer who performed as a special guest during Super Bowl 50?
93,"what are the odds that the Super Bowl 50 halftime show won the record record?
As a general rule, if the Super Bowl 50 halftime show holds the record it will hold the record when the show ends on May 11, 2012. However, the odds are different for other televised programs following the game. In fact, S",What ranking does the Super Bowl 50 halftime show have on the list of most watched TV broadcasts?
94,"what are the odds that the Super Bowl 50 halftime show won the record record?
As a sports broadcasting company, CBS knows that a halftime show can make a huge difference on the national level when it comes to national television ratings. Based on the Super Bowl halftime show's performance on the air",What station aired the Super Bowl?
95," where are the big shows? Which is ""large"" (that's that big?) and which is ""small?"" But do big shows earn a lot of ad time in a large media market?
Well, not quite!
The fact that Super Bowl 50 cost $5 million was likely the result of a lot of marketing by the ad agencies and social media channels. T",How much money did a 1/2 minute commercial cost?
96,"what are the odds that the movie is ""part of the global record-setter""? Well, the odds for Coldplay are pretty good. Coldplay scored almost four out of five stars on an all-time list of the world's top 20 highest earners (more as a percentage of total revenues than as revenue per song). The only oth",What band headlined half-time during Super Bowl 50?
97," where are Beyoncé and Bruno Mars in ""Live Music Television""? Beyoncé and Bruno Mars have been friends with and in-universe with a multitude of celebrities. Here is where he/she/it/its show will continue its relationship with Super Bowl 50:",What two artists came out with Coldplay during the half-time show?
98,"what are the odds that the Super Bowl 50 halftime show won the record record?
As a sports broadcasting company, CBS knows that a halftime show can make a huge difference on the national level when it comes to national television ratings. Based on the Super Bowl halftime show's performance on the air",Who broadcast the Super Bowl on TV?
99,"what are the odds that the movie is ""part of the global record-setter""? Well, the odds for Coldplay are pretty good. Coldplay scored almost four out of five stars on an all-time list of the world's top 20 highest earners (more as a percentage of total revenues than as revenue per song). The only oth",Who headlined the halftime show for Super Bowl 50?
100," where are Beyoncé and Bruno Mars in ""Live Music Television""? Beyoncé and Bruno Mars have been friends with and in-universe with a multitude of celebrities. Here is where he/she/it/its show will continue its relationship with Super Bowl 50:",Who were special guests for the Super Bowl halftime show?
101," where are the big shows? Which is ""large"" (5-10 million, 10–50 million or 100 million)? In both cases, the audience is large in a large size. The Big Show, of course, takes its audiences from the USA/Canada sub-region (all shows in this sub-region will be shown at least 2 months in advance). The Su",Which Super Bowl halftime show did Beyoncé headline?
102," where are the big shows? Which is ""large"" (that's that big?) and which is ""small?"" But do big shows earn a lot of ad time in a large media market?
Well, not quite!
The fact that Super Bowl 50 cost $5 million was likely the result of a lot of marketing by the ad agencies and social media channels. T",What was the cost for a half minute ad?
103,"what are the odds that the movie is ""part of the global record-setter""? Well, the odds for Coldplay are pretty good. Coldplay scored almost four out of five stars on an all-time list of the world's top 20 highest earners (more as a percentage of total revenues than as revenue per song). The only oth",Who lead the Super Bowl 50 halftime performance?
104," where are Beyoncé and Bruno Mars in ""Live Music Television""? Beyoncé and Bruno Mars have been friends with and in-universe with a multitude of celebrities. Here is where he/she/it/its show will continue its relationship with Super Bowl 50:",What other two famous performers were part of the Super Bowl 50 halftime?
105," where are the stars of the movie in ""Hot Tub Time Machine""? In the U.S., the best known model of the movie so far (and the most anticipated actress of her age), Beyoncé, gets a big screen role, while the other stars of her age get the same role in this story. So far, we only have two known stars to",What performer lead the Super Bowl XLVIII halftime show?
106,"what are the odds that the 49ers will win the NFC Championship this year?
As a sports journalist I have been writing about the most recent Super Bowl.
(I do not remember which Super Bowl this year was, and if it was Super Bowl XXIII, as I was going to say this week, I will return next week to discus",Who was the NFL Commissioner in early 2012?
107,"what are the odds that the 50 is ""spectacular""? the odds that the 50 would be ""spectacular"" in any case can be a lot.the odds that a game with 50+ TDs and/or a 40-yard score will qualify as a special game as a special game is pretty low.so why do we get a lot of predictions from the above context? T",Which Super Bowl did Roger Goodell speak about?
108,"what are the odds that the 49ers will win the NFC Championship this year?2013
This is a tricky equation to wrap your head around. The Seahawks have lost four out of five games since the 2009 season. So who takes the blame for that outcome? Will it be the 49ers, the 49ers, the 49ers or a player like ",In what year did Roger Goodell call Super Bowl 50 'an important game for us as a league'?
109,"what are the odds that the 49ers will win the NFC Championship this year?
As a sports journalist I have been writing about the most recent Super Bowl.
(I do not remember which Super Bowl this year was, and if it was Super Bowl XXIII, as I was going to say this week, I will return next week to discus",Who is the Commissioner of the National Football League?
110,"what are the odds that the 49ers will win the NFC Championship this year?
As a sports journalist I have been writing about the 49ers in the past. Here is the most recent news out that made me think that the team was getting a huge call:
The 49ers had been in contention for the NFC East title for a d",When did he make the quoted remarks about Super Bowl 50?
111,"what are the odds that the 49ers will win the NFC Championship this year?
As a sports journalist I have been writing about the most recent Super Bowl.
(I do not remember which Super Bowl this year was, and if it was Super Bowl XXIII, as I was going to say this week, I will return next week to discus",Who was the commissioner of the NFL in 2012? 
